trp_unarmed_troop|Ongewapende Troep
; trp_knight_2_4|Pharakhâd The Bastard
; trp_knight_2_5|Grishnakh
; trp_knight_2_51|Gothmog
; trp_knight_2_51_pl|Lieutenant
; trp_knight_2_6|Chieftain Karna the Lion
; trp_knight_2_7|Chieftain Na’man
; trp_knight_2_8|Chieftain Haarith
; trp_knight_2_11|Kusulak
; trp_knight_2_12|Ulwarth the Balchoth
; trp_knight_2_13|Brodda
; trp_knight_2_16|Torask
; trp_knight_2_17|Lurmsakun
; trp_knight_3_1|Captain Morbir
; trp_knight_3_2|Captain Angamaitë
; trp_knight_3_3|Captain Sangahyando
; trp_knight_3_6|Haldir
; trp_knight_3_7|Orophin
; trp_knight_3_11|Elladan
; trp_knight_3_12|Elrohir
; trp_knight_3_13|Halbarad
; trp_knight_3_16|Miriel
; trp_knight_3_17|Gladvaethor
; trp_knight_4_1|Whip Snog
; trp_knight_4_2|Whip Snotgor
; trp_knight_4_6|General Tuskim
; trp_knight_4_7|General Mugslag
; trp_knight_4_11|Ruel
; trp_knight_4_12|Beranor Blackfur
; trp_knight_4_16|Whip Brolgukhsh
; trp_knight_4_17|Whip Grumrunt
; trp_knight_4_18|Whip Grimsob
; trp_knight_5_1|Lord Halward
; trp_knight_5_2|Lord Bard
; trp_knight_5_3|Lord Esgarain
; trp_knight_5_6|Fulgni Longbeard
; trp_knight_5_7|Thorin Stonehelm
; trp_knight_5_11|Chief Fudreim
; trp_knight_5_12|Chief Wulf
; trp_knight_6_1|Dervorin
; trp_smith_mtirith|Berethor the Smith
; trp_smith_mtirith_pl|Steward's smiths
; trp_smith_pelargir|Hallatan Metalmaster
; trp_smith_pelargir_pl|smithy
; trp_smith_linhir|Bor the Armorer
; trp_smith_linhir_pl|smithy
; trp_smith_dolamroth|Haldad the Smith
; trp_smith_dolamroth_pl|Amroth smiths
; trp_smith_edhellond|Ryis Ironbender
; trp_smith_edhellond_pl|smithy
; trp_smith_lossarnach|Berin Axemaker
; trp_smith_lossarnach_pl|smithy
; trp_smith_tarnost|Harandil Steelhammer
; trp_smith_tarnost_pl|smithy
; trp_smith_erech|Lorne the Black
; trp_smith_erech_pl|smithy
; trp_smith_pinnath|Tarandil Swordmaker
; trp_smith_pinnath_pl|smithy
; trp_smith_eosgiliath|Bzurg the Looter
; trp_smith_eosgiliath_pl|smithy
; trp_smith_wosgiliath|Gardil
; trp_smith_wosgiliath_pl|makeshift smithy
; trp_smith_calembel|Agronom
; trp_smith_calembel_pl|smithy
; trp_smith_hannun|Fal the Ranger Smith
; trp_smith_hannun_pl|ranger gear stash
; trp_smith_candros|Kalimdor
; trp_smith_candros_pl|smithy
; trp_smith_edoras|Eaoden Steelmaster
; trp_smith_edoras_pl|King's smithy
; trp_smith_aldburg|Fulm Ironhoof
; trp_smith_aldburg_pl|smithy
; trp_smith_hornburg|Aldhelm
; trp_smith_hornburg_pl|smithy
; trp_smith_eastemnet|Eadfrid
; trp_smith_eastemnet_pl|smithy
; trp_smith_westfold|Deor Helmmaker
; trp_smith_westfold_pl|smithy
; trp_smith_westemnet|Armourer
; trp_smith_westemnet_pl|smithy
; trp_smith_eastfold|Eaderan Ironcarver
; trp_smith_eastfold_pl|smithy
; trp_smith_morannon|Hurbag Gateforger
; trp_smith_morannon_pl|smithy
; trp_smith_mmorgul|Orgurz Firebelcher
; trp_smith_mmorgul_pl|smithy
; trp_town_24_smith|Boz Ironspoiler
; trp_town_24_smith_pl|smithy
; trp_smith_orc_patrol|Glugz Ironfinger
; trp_smith_orc_patrol_pl|camp smithy
; trp_smith_oscamp|Kugash Ironlover
; trp_smith_oscamp_pl|camp smithy
; trp_smith_isengard|Burz Ironbasher
; trp_smith_isengard_pl|underground smithy
; trp_smith_uoutpost|Gurzuk Irontooth
; trp_smith_uoutpost_pl|outpost smithy
; trp_smith_uhcamp|Rabzug Rusteater
; trp_smith_uhcamp_pl|camp smithy
; trp_smith_urcamp|Glurk
; trp_smith_urcamp_pl|camp smithy
; trp_smith_cgaladhon|Dirufin the Bowyer
; trp_smith_cgaladhon_pl|elven weaponmakers
; trp_smith_cdolen|Dimirian the Fletcher
; trp_smith_cdolen_pl|elven weaponmakers
; trp_smith_camroth|Getasistan
; trp_smith_camroth_pl|elven weaponmakers
; trp_smith_thranduils_halls|Thurinor
; trp_smith_thranduils_halls_pl|smithy
; trp_smith_woodelf_camp|Calechir
; trp_smith_woodelf_camp_pl|smithy
; trp_smith_beorn|Beornalaf Axemaker
; trp_smith_beorn_pl|smithy
; trp_smith_moria|Burgak Forger
; trp_smith_moria_pl|smithy
; trp_smith_dale|Ardel Firehand
; trp_smith_dale_pl|smithy
; trp_smith_esgaroth|Kelegarn The Bowyer
; trp_smith_esgaroth_pl|smithy
; trp_smith_erebor|Thror the Hammerer
; trp_smith_erebor_pl|praised Dwarven smiths
; trp_smith_dunland|Dorrowuld Ironpike
; trp_smith_dunland_pl|smithy
; trp_smith_harad|Har Steelbender
; trp_smith_harad_pl|smithy
; trp_smith_khand|Pushurt The Haggler
; trp_smith_khand_pl|smithy
; trp_smith_umbar|Fuinir the Forger
; trp_smith_umbar_pl|smithy
; trp_smith_imladris|Duifirian
; trp_smith_imladris_pl|elven weaponmakers
; trp_smith_dolguldur|Shtazg Dulbash
; trp_smith_dolguldur_pl|smithy
; trp_smith_north_rhun|Ognjemir Kladivo
; trp_smith_north_rhun_pl|makeshift smithy
; trp_smith_gundabad|Blurg Snowseller
; trp_smith_gundabad_pl|smithy
; trp_smith_ironhill|Ironhill Smith
; trp_smith_ironhill_pl|Dwarven camp smiths
; trp_town_50_weaponsmith|Shruklug Knife Grinder
; trp_town_50_weaponsmith_pl|smithy
; trp_smith_gondor_ac|Bor the Armorer
; trp_smith_gondor_ac_pl|camp smithy
; trp_smith_rohan_ac|Deor Helmmaker
; trp_smith_rohan_ac_pl|camp smithy
; trp_smith_mordor_ac|Hurbag Gateforger
; trp_smith_mordor_ac_pl|smithy
; trp_smith_isengard_ac|Burz Ironbasher
; trp_smith_isengard_ac_pl|underground smithy
; trp_smith_lorien_ac|Dimirian the Fletcher
; trp_smith_lorien_ac_pl|elven weaponmakers
; trp_smith_woodelf_ac|Dhoelath
; trp_smith_woodelf_ac_pl|smithy
; trp_smith_dwarf_ac|Ironhill Smith
; trp_smith_dwarf_ac_pl|Dwarven camp smiths
; trp_smith_gundabad_ac|Blurg Snowseller
; trp_smith_gundabad_ac_pl|smithy
; trp_smith_rhun_ac|Branimir Bronnik
; trp_smith_rhun_ac_pl|makeshift smithy
; trp_smith_guldur_ac|Shtazg Dulbash
; trp_smith_guldur_ac_pl|smithy
; trp_smith_imladris_ac|Duifirian
; trp_smith_imladris_ac_pl|elven weaponmakers
; trp_smith_dunland_ac|Dorrowuld Ironpike
; trp_smith_dunland_ac_pl|smithy
; trp_smith_harad_ac|Har Steelbender
; trp_smith_harad_ac_pl|smithy
; trp_smith_khand_ac|Pushurt The Haggler
; trp_smith_khand_ac_pl|smithy
; trp_smith_umbar_ac|Fuinir the Forger
; trp_smith_umbar_ac_pl|smithy
; trp_smith_moria_ac|Burgak Forger
; trp_smith_moria_ac_pl|smithy
; trp_smith_dale_ac|Ardel Firehand
; trp_smith_dale_ac_pl|smithy
; trp_smith_beorn_ac|Beornalaf Axemaker
; trp_smith_beorn_ac_pl|smithy
; trp_smith_woodelf_west_camp|Dhoelath
; trp_smith_woodelf_west_camp_pl|smithy
; trp_smith_woodmen|Beornalaf Axemaker
; trp_smith_woodmen_pl|smithy
; trp_smith_beorn_v|Beornalaf Axemaker
; trp_smith_beorn_v_pl|smithy
; trp_smith_troll_cave|Burgak Forger
; trp_smith_troll_cave_pl|smithy
; trp_smith_dg_outpost|Shtazg Dulbash
; trp_smith_dg_outpost_pl|smithy
; trp_smith_main_rhun|Branimir Bronnik
; trp_smith_main_rhun_pl|makeshift smithy
; trp_smith_south_rhun|Branimir Bronnik
; trp_smith_south_rhun_pl|makeshift smithy
; trp_smith_gundabad_ne|Blurg Snowseller
; trp_smith_gundabad_ne_pl|smithy
; trp_smith_gundabad_nw|Blurg Snowseller
; trp_smith_gundabad_nw_pl|smithy
; trp_smith_gundabad_s|Blurg Snowseller
; trp_smith_gundabad_s_pl|smithy
; trp_smith_gundabad_m|Blurg Snowseller
; trp_smith_gundabad_m_pl|smithy
; trp_barman_eastemnet|Tavern Keeper
trp_barman_eastemnet_pl|het Kasteel
; trp_barman_westfold|Tavern Keeper
trp_barman_westfold_pl|het Kasteel
; trp_barman_westemnet|Tavern Keeper
trp_barman_westemnet_pl|het Kasteel
; trp_barman_eastfold|Tavern Keeper
trp_barman_eastfold_pl|het Kasteel
; trp_barman_baraddur|Tavern Keeper
trp_barman_baraddur_pl|het Kasteel
; trp_barman_morannon|Tavern Keeper
; trp_barman_morannon_pl|the Leader's Cave
; trp_barman_mmorgul|Tavern Keeper
trp_barman_mmorgul_pl|de Toren
; trp_merchant_main_rhun|Supply Master
; trp_merchant_main_rhun_pl|camp stash
; trp_merchant_dg_outpost|Supply Master
trp_merchant_dg_outpost_pl|stal en warenhuis
; trp_merchant_woodelf_west_camp|Supply Master
; trp_merchant_woodelf_west_camp_pl|elven supplies
; trp_merchant_gundabad_m|Supply Master
; trp_merchant_gundabad_m_pl|camp stash
; trp_merchant_gundabad_s|Supply Master
; trp_merchant_gundabad_s_pl|camp stash
; trp_merchant_gundabad_nw|Supply Master
; trp_merchant_gundabad_nw_pl|camp stash
; trp_merchant_gundabad_ne|Supply Master
; trp_merchant_gundabad_ne_pl|camp stash
; trp_merchant_troll_cave|Supply Master
; trp_merchant_troll_cave_pl|warg pit and supplies
; trp_merchant_beorn_v|Supply Master
trp_merchant_beorn_v_pl|stal en warenhuis
; trp_merchant_orc_sentry|Supply Master
; trp_merchant_orc_sentry_pl|camp stash
; trp_merchant_candros|Supply Master
trp_merchant_candros_pl|stal en warenhuis
; trp_merchant_hannun|Supply Master
; trp_merchant_hannun_pl|ranger supplies
; trp_merchant_mtirith|Supply Master
trp_merchant_mtirith_pl|stal en warenhuis
; trp_merchant_pelargir|Supply Master
trp_merchant_pelargir_pl|stal en warenhuis
; trp_merchant_linhir|Supply Master
trp_merchant_linhir_pl|stal en warenhuis
; trp_merchant_dolamroth|Supply Master
trp_merchant_dolamroth_pl|stal en warenhuis
; trp_merchant_edhellond|Supply Master
trp_merchant_edhellond_pl|stal en warenhuis
; trp_merchant_lossarnach|Supply Master
trp_merchant_lossarnach_pl|stal en warenhuis
; trp_merchant_tarnost|Supply Master
trp_merchant_tarnost_pl|stal en warenhuis
; trp_merchant_erech|Supply Master
trp_merchant_erech_pl|stal en warenhuis
; trp_merchant_pinnath|Supply Master
trp_merchant_pinnath_pl|stal en warenhuis
; trp_merchant_eosgiliath|Supply Master
trp_merchant_eosgiliath_pl|stal en warenhuis
; trp_merchant_wosgiliath|Supply Master
trp_merchant_wosgiliath_pl|stal en warenhuis
; trp_town_12_horse_merchant|Supply Master
trp_town_12_horse_merchant_pl|stal en warenhuis
; trp_town_13_horse_merchant|Supply Master
trp_town_13_horse_merchant_pl|stal en warenhuis
; trp_merchant_edoras|Supply Maiden
trp_merchant_edoras_pl|stal en warenhuis
; trp_merchant_aldburg|Supply Master
; trp_merchant_aldburg_pl|King's stable and warehouse
; trp_merchant_hornburg|Supply Master
trp_merchant_hornburg_pl|stal en warenhuis
; trp_merchant_eastemnet|Supply Master
trp_merchant_eastemnet_pl|stal en warenhuis
; trp_merchant_westfold|Supply Maiden
trp_merchant_westfold_pl|stal en warenhuis
; trp_merchant_westemnet|Supply Maiden
trp_merchant_westemnet_pl|stal en warenhuis
; trp_merchant_eastfold|Supply Maiden
trp_merchant_eastfold_pl|stal en warenhuis
; trp_town_21_horse_merchant|Supply Master
; trp_town_21_horse_merchant_pl|pit and warehouse
; trp_merchant_morannon|Supply Master
; trp_merchant_morannon_pl|pit and warehouse
; trp_merchant_mmorgul|Supply Master
; trp_merchant_mmorgul_pl|pit and warehouse
; trp_town_24_horse_merchant|Supply Master
; trp_town_24_horse_merchant_pl|pit and warehouse
; trp_merchant_orc_patrol|Supply Master
; trp_merchant_orc_patrol_pl|camp stash
; trp_merchant_isengard|Supply Master
; trp_merchant_isengard_pl|camp stash
; trp_town_27_horse_merchant|Supply Master
; trp_town_27_horse_merchant_pl|warg pit and supplies
; trp_merchant_uoutpost|Supply Master
; trp_merchant_uoutpost_pl|warg pit and supplies
; trp_merchant_uhcamp|Supply Master
; trp_merchant_uhcamp_pl|warg pit and supplies
; trp_merchant_urcamp|Supply Master
; trp_merchant_urcamp_pl|warg pit and supplies
; trp_merchant_cgaladhon|Supply Master
; trp_merchant_cgaladhon_pl|elven supplies
; trp_merchant_cdolen|Supply Master
; trp_merchant_cdolen_pl|elven supplies
; trp_merchant_camroth|Supply Master
; trp_merchant_camroth_pl|elven supplies
; trp_merchant_thranduils_halls|Supply Master
; trp_merchant_thranduils_halls_pl|elven supplies
; trp_merchant_woodelf_camp|Supply Master
; trp_merchant_woodelf_camp_pl|elven supplies
; trp_merchant_woodmen|Supply Master
trp_merchant_woodmen_pl|stal en warenhuis
; trp_merchant_beorn|Supply Master
trp_merchant_beorn_pl|stal en warenhuis
; trp_merchant_moria|Supply Master
; trp_merchant_moria_pl|warg pit and supplies
; trp_merchant_dale|Supply Master
trp_merchant_dale_pl|stal en warenhuis
; trp_merchant_esgaroth|Supply Master
trp_merchant_esgaroth_pl|stal en warenhuis
; trp_merchant_erebor|Supply Master
; trp_merchant_erebor_pl|Dwarven supplies
; trp_merchant_dunland|Dun Stash Master
; trp_merchant_dunland_pl|camp stash
; trp_merchant_harad|Harad Stash Master
; trp_merchant_harad_pl|camp stash
; trp_merchant_khand|Khand Stash Master
; trp_merchant_khand_pl|camp stash
; trp_merchant_umbar|Supply Master
; trp_merchant_umbar_pl|camp stash
; trp_merchant_imladris|Supply Master
; trp_merchant_imladris_pl|camp supplies
; trp_merchant_dolguldur|Supply Master
trp_merchant_dolguldur_pl|stal en warenhuis
; trp_merchant_north_rhun|Supply Master
; trp_merchant_north_rhun_pl|camp stash
; trp_merchant_south_rhun|Supply Master
; trp_merchant_south_rhun_pl|camp stash
; trp_merchant_gundabad|Supply Master
; trp_merchant_gundabad_pl|camp stash
; trp_merchant_ironhill|Supply Master
; trp_merchant_ironhill_pl|Dwarven supplies
; trp_town_50_horse_merchant|Gobrip Yellowtooth
; trp_town_50_horse_merchant_pl|warg pit and supplies
; trp_merchant_calembel|Supply Master
trp_merchant_calembel_pl|stal en warenhuis
; trp_elder_mtirith|Tirith Guildmaster
; trp_elder_mtirith_pl|the White City
; trp_elder_pelargir|Sailor Guildmaster
trp_elder_pelargir_pl|de stad
; trp_elder_linhir|Linhir Guildmaster
trp_elder_linhir_pl|de stad
; trp_elder_dolamroth|Dol Amroth Guildmaster
trp_elder_dolamroth_pl|de stad
; trp_elder_edhellond|Edhellond Guildmaster
trp_elder_edhellond_pl|de stad
; trp_elder_lossarnach|Lossarnach Guildmaster
trp_elder_lossarnach_pl|het dorp
; trp_elder_tarnost|Tarnost Guildmaster
trp_elder_tarnost_pl|het dorp
; trp_elder_erech|Erech Guildmaster
trp_elder_erech_pl|het dorp
; trp_elder_pinnath|Pinnath Tribe Elder
trp_elder_pinnath_pl|het dorp
; trp_elder_ethring|Calembel Guildmaster
trp_elder_ethring_pl|de stad
; trp_elder_henneth|Ranger Guildmaster
; trp_elder_henneth_pl|the hideout
; trp_elder_cairandros|Cair Andros Guildmaster
; trp_elder_cairandros_pl|the island fortress
; trp_elder_edoras|Edoras Thain
trp_elder_edoras_pl|de stad
; trp_elder_aldburg|Aldburg Thain
trp_elder_aldburg_pl|het dorp
; trp_elder_hornburg|Hornburg Thain
; trp_elder_hornburg_pl|the fortress
; trp_elder_eastemnet|East Emnet Thain
trp_elder_eastemnet_pl|het dorp
; trp_elder_westfold|Westfold Thain
trp_elder_westfold_pl|het dorp
; trp_elder_westemnet|West Emnet Thain
trp_elder_westemnet_pl|het dorp
; trp_elder_eastfold|Eastfold Thain
trp_elder_eastfold_pl|het dorp
; trp_elder_morannon|Morannon Chief
; trp_elder_morannon_pl|the caves overlooking the Great Gate
; trp_elder_mmorgul|Morgul Chief
; trp_elder_mmorgul_pl|the sinister city
; trp_elder_cungol|Camp Chief
trp_elder_cungol_pl|het kamp
; trp_elder_isengard|Grima Wormtongue
trp_elder_isengard_pl|de stad
; trp_elder_cgaladhon|Lorien Loremaster
; trp_elder_cgaladhon_pl|the elven forest fortress
; trp_elder_cdolen|Lorien Loremaster
; trp_elder_cdolen_pl|the encampment
; trp_elder_camroth|Lorien Loremaster
; trp_elder_camroth_pl|the encampment
; trp_elder_thalls|Mirkwood Elder
; trp_elder_thalls_pl|the elven caves
; trp_elder_imladris|Rivendell Campmaster
trp_elder_imladris_pl|het kamp
; trp_elder_wvillage|Pierre Woodman
; trp_elder_wvillage_pl|the village
; trp_elder_beorn|Beorn Elder
; trp_elder_beorn_pl|the hamlet
; trp_elder_harad|Harad Camp chief
trp_elder_harad_pl|het kamp
; trp_elder_rhun|Rhun High Priest
trp_elder_rhun_pl|het kamp
; trp_elder_khand|Khand Camp Chief
trp_elder_khand_pl|het kamp
; trp_elder_dunland|Dun Camp Chief
trp_elder_dunland_pl|het kamp
; trp_elder_umbar|Umbar Quartermaster
; trp_elder_umbar_pl|the fortified camp
; trp_elder_moria|Moria Chief
; trp_elder_moria_pl|the Mines
; trp_elder_gunda|Master of the Caves
; trp_elder_gunda_pl|the caves
; trp_elder_dale|Dale Quartermaster
trp_elder_dale_pl|de Stad
; trp_elder_esgaroth|Esgaroth Quartermaster
; trp_elder_esgaroth_pl|the lake town
; trp_elder_erebor|Erebor Guildmaster
; trp_elder_erebor_pl|the Halls
; trp_elder_dolguldur|Guldur Chief
; trp_elder_dolguldur_pl|the black castle
; trp_elder_wosgiliath|Campmaster
trp_elder_wosgiliath_pl|het kamp
; trp_elder_oscamp|Campmaster
trp_elder_oscamp_pl|het kamp
; trp_elder_eosgiliath|Campmaster
trp_elder_eosgiliath_pl|het kamp
; trp_elder_uoutpost|Campmaster
trp_elder_uoutpost_pl|het kamp
; trp_elder_uhcamp|Campmaster
trp_elder_uhcamp_pl|het kamp
; trp_elder_urcamp|Campmaster
trp_elder_urcamp_pl|het kamp
; trp_elder_woodelf_camp|Elder
trp_elder_woodelf_camp_pl|het kamp
; trp_elder_woodelf_west_camp|Elder
trp_elder_woodelf_west_camp_pl|het kamp
; trp_elder_beorn_v|Beorning Elder
; trp_elder_beorn_v_pl|the village
; trp_elder_troll_cave|Cave Chief
; trp_elder_troll_cave_pl|the caves
; trp_elder_dg_outpost|Campmaster
trp_elder_dg_outpost_pl|het kamp
; trp_elder_rhun_sc|Rhun Camp Chief
trp_elder_rhun_sc_pl|het kamp
; trp_elder_rhun_nc|Rhun Camp Chief
trp_elder_rhun_nc_pl|het kamp
; trp_elder_gunda_ne|Orc Elder
trp_elder_gunda_ne_pl|het kamp
; trp_elder_gunda_nw|Orc Elder
trp_elder_gunda_nw_pl|het kamp
; trp_elder_gunda_s|Orc Elder
trp_elder_gunda_s_pl|het kamp
; trp_elder_gunda_m|Orc Elder
trp_elder_gunda_m_pl|het kamp
; trp_elder_ironhill|Camp Chief
trp_elder_ironhill_pl|het kamp
; trp_village_1_elder|Lord of the Lash
; trp_village_1_elder_pl|the caves
; trp_tutorial_chest_1|Melee Weapons Chest
; trp_tutorial_chest_2|Ranged Weapons Chest
; trp_bonus_chest_1|Bonus Chest
; trp_bonus_chest_2|Bonus Chest
; trp_bonus_chest_3|Bonus Chest
; trp_camp_chest_faction|Faction Chest
; trp_camp_chest_none|Chest for nones
; trp_player_chest|Your Chest
; trp_local_merchant|Local Merchant
; trp_local_merchant_pl|Local Merchants
; trp_tax_rebel|Peasant Rebel
; trp_tax_rebel_pl|Peasant Rebels
; trp_trainee_peasant|Peasant
; trp_trainee_peasant_pl|Peasants
; trp_fugitive_man|Suspicious Man
; trp_fugitive_man_pl|Suspicious Men
; trp_fugitive_elf|Suspicious Elf
; trp_fugitive_elf_pl|Suspicious Elves
; trp_fugitive_dwarf|Suspicious Dwarf
; trp_fugitive_dwarf_pl|Suspicious Dwarves
; trp_fugitive_orc|Suspicious Orc
; trp_fugitive_orc_pl|Suspicious Orcs
; trp_spy|Shifty-eyed Corsair
; trp_spy_pl|Shifty-eyed Corsairs
; trp_spy_evil|Shifty-eyed Southerner
; trp_spy_evil_pl|Shifty-eyed Southerners
; trp_spy_partner|Spy Handler
; trp_spy_partner_pl|Spy Handlers
; trp_spy_partner_evil|Spy Handler
; trp_spy_partner_evil_pl|Spy Handlers
; trp_easter_egg_troll|The Troll
; trp_treebeard|Treebeard
; trp_ent_1|Bregalad
; trp_ent_2|Finglas
; trp_ent_3|Fladrif
; trp_gandalf|Gandalf
; trp_gandalf_pl|Home-grown Gandalves
; trp_nazgul|Nazgul
; trp_nazgul_pl|Domesticated Nazgul
; trp_radagast|Radagast
; trp_barman|Barman
; trp_elder|Center Elder
; trp_gear_merchant|Gear Merchant
; trp_goods_merchant|Goods Merchant
; trp_start_quest_caravaneer|Torbal the Caravaneer
; trp_dorwinion_bandit|Dorwinion Bandit
; trp_dorwinion_bandit_pl|Dorwinion Bandits
; trp_dorwinion_raider|Dorwinion Raider
; trp_dorwinion_raider_pl|Dorwinion Raiders
; trp_city_guard|City Guard
; trp_city_guard_pl|city guard
; trp_orc_sentry|Orc Sentry
; trp_orc_sentry_pl|orc sentry
; trp_uruk_hai_sentry|Uruk-hai Sentry
; trp_uruk_hai_sentry_pl|uruk hai sentry
; trp_black_numenorean_sorcerer|Black Numenorean Sorcerer
; trp_black_numenorean_sorcerer_pl|Black numenorean sorcerer
; trp_evil_priest|Evil Priest
; trp_evil_priest_pl|Evil Priests
; trp_wolf_rider_of_mirkwood|Wolf Rider of Mirkwood
; trp_wolf_rider_of_mirkwood_pl|Wolf Riders of Mirkwood
; trp_warg_rider_of_mirkwood|Warg Rider of Mirkwood
; trp_warg_rider_of_mirkwood_pl|Warg Riders of Mirkwood
; trp_gate_aggravator|Gate Defence
; trp_orc_pretender|Orc Pretender
trp_human_prisoner|Menselijke Gevangene
; trp_spider|Mirkwood Spider
; trp_spider_pl|Mirkwood Spiders
trp_bear|Beer
trp_bear_pl|Beren
trp_wolf|Wolf
trp_wolf_pl|Wolven
; trp_dorwinion_sack|Dorwinion Sack
; trp_ring_hunter_captain|Ring Hunter Captain
; trp_ring_hunter_lt|Ring Hunter Captain
; trp_ring_hunter_one|Ring Hunter
; trp_ring_hunter_one_pl|Ring Hunters
; trp_ring_hunter_two|Ring Hunter
; trp_ring_hunter_two_pl|Ring Hunters
; trp_ring_hunter_three|Ring Hunter
; trp_ring_hunter_three_pl|Ring Hunters
; trp_ring_hunter_four|Ring Hunter
; trp_ring_hunter_four_pl|Ring Hunters
; trp_start_quest_uruk|Mordor Uruk Captain
; trp_start_quest_orc|Mordor Orc Lieutenant
; trp_start_quest_orc_pl|Large Orcs of Mordor
trp_start_quest_woodelf|Galadhrim Koninklijke Scherpschutter
trp_start_quest_woodelf_pl|Galadhrim Koninklijke Scherpschutters
; trp_start_quest_mordor_scout|Mordor Guide
; trp_start_quest_mordor_scout_pl|Mordor Guides
trp_start_quest_beorning|Beorning Carrock Berserker
trp_start_quest_beorning_pl|Beorning Carrock Berserkers
; trp_i6_beorning_bear_warrior|Bear Warrior
; trp_i6_beorning_bear_warrior_pl|Bear Warriors
; trp_morannon_healer|Okstuk the Healer
; trp_minas_tirith_healer|Ioreth
; trp_edoras_healer|Freya the Healer
; trp_isengard_healer|Nurgal the Patcher
; trp_guldur_healer|Mornagar the Gramaryer
; trp_gundabad_healer|Lurgakh Third Eye
; trp_mirkwood_healer|Corwiel the Soft-Handed
; trp_hungry_uruk|Hungry Uruk
; trp_hungry_orc|Hungry Orc
; trp_longing_lorien|Longing Elf
; trp_longing_woodelf|Longing Elf
; trp_longing_imladris|Longing Elf
; trp_i5_moria_deep_dweller|Deep-Dweller of Moria
; trp_i5_moria_deep_dweller_pl|Deep-Dwellers of Moria
; trp_i5_moria_orc_chieftain|Orc Chieftain of Moria
; trp_i5_moria_orc_chieftain_pl|Orc Chieftains of Moria
; trp_c5_rhovanion_noble|Rhovanion Noble
; trp_c5_rhovanion_noble_pl|Rhovanion Noblemen
; trp_npc18|Turmbathu
; trp_npc19|Heidrek
; trp_npc20|Zigûrphel
; trp_werewolf|Werewolf
; trp_werewolf_pl|Werewolves
; trp_moria_troll|Cave Troll
; trp_moria_troll_pl|Cave Trolls
; trp_moria_vet_troll|Trained Cave Troll
; trp_moria_vet_troll_pl|Trained Cave Trolls
; trp_moria_armored_troll|Armored Cave Troll
; trp_moria_armored_troll_pl|Armored Cave Trolls
; trp_gunda_troll|Mountain Troll
; trp_gunda_troll_pl|Mountain Trolls
; trp_gunda_vet_troll|Trained Mountain Troll
; trp_gunda_vet_troll_pl|Trained Mountain Trolls
; trp_gunda_placeholder|Trained Mountain Troll
; trp_gunda_placeholder_pl|Trained Mountain Trolls
; trp_isen_troll|Isengard Troll
; trp_isen_troll_pl|Isengard Trolls
; trp_isen_vet_troll|Isengard Trained Troll
; trp_isen_vet_troll_pl|Isengard Trained Trolls
; trp_isen_armored_troll|Isengard Armored Troll
; trp_isen_armored_troll_pl|Isengard Armored Trolls
; trp_mordor_troll|Mordor Troll
; trp_mordor_troll_pl|Mordor Trolls
; trp_mordor_vet_troll|Mordor Trained Troll
; trp_mordor_vet_troll_pl|Mordor Trained Trolls
; trp_mordor_olog_hai|Olog Hai of Mordor
; trp_mordor_olog_hai_pl|Olog Hai of Mordor
; trp_troll_placeholder_1|Cave Troll
; trp_troll_placeholder_1_pl|Cave Trolls
; trp_troll_placeholder_2|Cave Troll
; trp_troll_placeholder_2_pl|Cave Trolls
; trp_troll_placeholder_3|Cave Troll
; trp_troll_placeholder_3_pl|Cave Trolls
; trp_troll_placeholder_4|Cave Troll
; trp_troll_placeholder_4_pl|Cave Trolls
; trp_troll_placeholder_5|Cave Troll
; trp_troll_placeholder_5_pl|Cave Trolls
; trp_troll_placeholder_6|Cave Troll
; trp_troll_placeholder_6_pl|Cave Trolls
; trp_wild_troll|Wild Cave Troll
; trp_wild_troll_pl|Wild Cave Trolls
; trp_ent|Ent
; trp_ent_pl|Ents
; trp_mountain_goblin|Mountain Goblin
; trp_mountain_goblin_pl|Mountain Goblins
; trp_tribal_orc|Tribal Orc
trp_tribal_orc_pl|Stammen Orks
; trp_tribal_orc_warrior|Tribal Orc Warrior
; trp_tribal_orc_warrior_pl|Tribal Orc Warriors
; trp_tribal_orc_chief|Tribal Orc Chief
; trp_tribal_orc_chief_pl|Tribal Orc Chiefs
trp_a3_dism_skirmisher_of_rohan|Schermutselaar van Rohan
trp_a3_dism_skirmisher_of_rohan_pl|Schermutselaren van Rohan
trp_a4_dism_veteran_skirmisher_of_rohan|Ervaren Schermutselaar van Rohan
trp_a4_dism_veteran_skirmisher_of_rohan_pl|Ervaren Schermutselaren van Rohan
trp_a5_dism_elite_skirmisher_of_rohan|Elite Schermutselaar van Rohan
trp_a5_dism_elite_skirmisher_of_rohan_pl|Elite Schermutselaren van Rohan
; trp_ac5_camel_rider|Harad Camel Rider
; trp_ac5_camel_rider_pl|Harad Camel Riders
; trp_aragorn|Aragorn
; trp_legolas|Legolas
; trp_gimli|Gimli
; trp_pippin_notmet|halfling
; trp_merry_notmet|halfling
; trp_pippin|Pippin
; trp_merry|Merry
