qstr_Gate_is_breached!|Ворота разрушены!
; qstr_My_zupdog_is_ill_but|My zupdog is ill, but I brought my zupmaiass.
; qstr_Wai_no_plate_armour_|Wai no plate armour in mod???
; qstr_What_is_plate_armour|What is plate armour? Never heard of it.
; qstr_Wai_no_female_trolls|Wai no female trolls? Eh? Eh? You ma biatch!
; qstr_WHEN_U_REALSE_MOD?!!|WHEN U REALSE MOD?!!?
; qstr_But_we_did_release._|But we did release. You're in it. And why are you shouting?
; qstr_YES!_ALSO_SOMETIMES_|YES! ALSO SOMETIMES IS!
; qstr_Wai_u_no_work_wiht_o|Wai u no work wiht otehr mods to make a super LOTR mod?
; qstr_Every_mod_team_works|Every mod team works according to their standards, you can't make mods cooperate if their vision is different.
; qstr_Because_we_don_t_hav|Because we don't have a sense of humour and most of them are just too funny for us.
; qstr_In_movies_trolls_are|In movies trolls are big and fat, wai u make me skinny?
; qstr_We_interpreted_Tolki|We interpreted Tolkien like this.
; qstr_But_we_did_make_you_|But we did make you as stupid as in the movies. That's gotta count for something.
; qstr_What_is_news?_Got_an|What is news? Got any screenshots?
; qstr_Well_just_look_aroun|Well just look around you, what do you need screenshots for?
; qstr_Say_cheese!|Say cheese!
; qstr_Why_did_you_make_mod|Why did you make mod installation so complex?
; qstr_Well_if_you_are_here|Well, if you are here and talking to me, you must've RTFM successfully after all
; qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Treebeard_wants_you_|Древобород хочет, чтобы ты уничтожил орков, рубящих лес Фангорн.
; qstr_Something_wrong_not_|Something wrong, not enought troops for scout party
; qstr_my_home_town|my home town
; qstr_I_am_in_perfect_heal|I am in perfect health.
; qstr_I_am_suffering_from_|I am suffering from {s1}.
; qstr_I_am_suffering_from_{|I am suffering from {s1} and {s2}.
; qstr_I_am_suffering_from_{s|I am suffering from {s1}, {s2}, and {s3}.
; qstr_I_am_suffering_from_{s1|I am suffering from {s1}, {s2}, {s3} and {s4}.
; qstr_I_don_t_have_any_ser|I don't have any serious injuries, thank you.
; qstr_Good_day_to_you.|Good day to you.
; qstr_Ah_it_s_you_again._G|Ah, it's you again. Goodbye.
; qstr_My_apologies_if_I_wa|My apologies if I was rude, earlier. What was your story again?
; qstr_I_was_reconsidering_|I was reconsidering our last conversation. What was your story again?
; qstr_Greetings_{s23}_{s24|Greetings, {s23}, {s24}.
; qstr_Greetings_{s23}.|Greetings, {s23}.
; qstr_So_you_are_{s23}._I_|So, you are {s23}. I hear you fight for our {s25} friends, so I guess I should consider you an ally.
; qstr_I_need_volunteers_wi|I need volunteers willing to follow me on dangerous missions.
; qstr_I_need_some_soldiers|I need some soldiers to replace my dead.
; qstr_{playername}_s_Reser|{playername}'s Reserves
; qstr_Excellent_job_{s23}!|Excellent job, {s23}! I wish all our commanders were as dedicated as you.^
; qstr_Nicely_done_{s23}.|Nicely done, {s23}.
; qstr_Good_work_{s23}.|Good work, {s23}.
; qstr_The_more_you_capture|The more you capture, the better, {s23}.
; qstr_Caught_a_few_straggl|Caught a few stragglers, {s23}?
; qstr_I_am_sorry_no_one_el|I am sorry, no one else is ready to go.^They will serve {s22} by holding the defences here.
; qstr_Tough_luck_but_we_do|Tough luck, but we don't have any. Come back later.
; qstr_There_are_brave_sold|There are brave soldiers willing to risk their life, but in these dark times I cannot afford to let them leave the defences here.^^^[not enough Resource Points]
; qstr_We_have_some_spare_t|We have some spare troops, but we can't afford to lose them to the likes of you.^^^[not enough Resource Points]
; qstr_There_are_brave_soldi|There are brave soldiers here volunteering for field duty.^^I think I can let a few of them go with you.
; qstr_There_are_spare_troo|There are spare troops here that wouldn't mind a little blood-letting.^^I can let a few of them go with you.
; qstr_Strenghten_defences_|Strenghten defences in {s21}? This is surely welcome. Note that we can only accept our own people.
; qstr_Strenghten_defences_i|Strenghten defences in {s21}? Well, as long as they are not crippled, why not. Just be sure you give away our own troops, for we have no use for outsiders here.
; qstr_Please_return_them_i|Please return them in one piece. I personally know the valor of each one of them. And here we need every soul.
; qstr_Don_t_let_them_all_d|Don't let them all die in one place. Except the cowards. Put those in your front ranks, you know the drill by now.
; qstr_Thank_you_commander.|Thank you, commander.^
; qstr_^{s22}_is_grateful_t|^{s22} is grateful to you, {s23}, {s29}^
; qstr_{s31}{reg28?Those:Th|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us hold {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s4}_^Oh_and_take_ba|{s4} ^Oh, and take back those of your soldiers, that are not our kin.
; qstr_I_don_t_need_them_an|I don't need them anyway, so save it.
; qstr_It_is_my_duty_to_pro|It is my duty to protect our people.
; qstr_It_is_my_duty_to_prot|It is my duty to protect our allies.
; qstr_I_am_{s4}_{s15}_of_{|I am {s4}, {s15} of {s6}
; qstr_I_am_{s4}_a_commande|I am {s4}, a commander of {s6}
; qstr_{s9}{reg5?_and_the_r|{s9}{reg5? and the ruler of {s8}.:.
; qstr_Very_well_done_{play|Very well done, {playername}! You captured both the spy and his handler, just as I'd hoped, and the pair are now safely locked up, waiting to be questioned. They will have some explaining to do! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
; qstr_Beautiful_work_{play|Beautiful work, {playername}! You captured both the spy and his handler, just as you were told, and the pair are now safely locked up in my dungeon, waiting to be questioned. My torturer shall be busy tonight! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
; qstr_Your_mission_is_comp|Your mission is complete, {s9} wants you to resume following his army until further notice.
; qstr_{s13}_asked_you_to_g|{s13} asked you to gather {reg3} units of {s4} and deliver them back to him.
; qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, then report back.
; qstr_You_have_been_most_h|You have been most helpful, {playername}. My thanks.
; qstr_You_are_a_good_serva|You are a good servant, {playername}. Carry on.
; qstr_Superb_work_{playern|Superb work, {playername}. I admire your attitude.
; qstr_Your_efficiency_is_p|Your efficiency is pleasing, {playername}. Continue and you will go far.
; qstr_It_was_an_honour_to_|It was an honour to serve.
; qstr_Your_wish_is_my_comm|Your wish is my command.
; qstr_we_are_fighting_agai|we are fighting against {s13}
; qstr_we_are_not_fighting_|we are not fighting anyone at the moment
; qstr_Oh?_Let_me_see_that.|Oh? Let me see that... Well well well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see him again.
; qstr_Give_me_that!_Hrmph!|Give me that! Hrmph! Good that you brought me this, {playername}, you are a useful servant. Tell {s9} to employ you more often.
; qstr_What?_Let_me_see_tha|What? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Now begone.
; qstr_Give_me_that!_Hrmph!_|Give me that! Hrmph! You are a useful servant to your masters, {playername}, but all of you will be dead before long. Not now though, so scurry off.
; qstr_Do_you_need_reinforc|Do you need reinforcements?
; qstr_You_don_t_look_too_s|You don't look too strong, do you need troops?
; qstr_^{s14}_is_grateful_t|^{s14} is grateful to you, {playername}, {s29}^
; qstr_{s31}{reg28?Those:That|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend our lands.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:That}|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us wreak more havoc.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s4}_^Oh_and_take_bac|{s4} ^Oh, and take back those soldiers who are not our kin, I have no use for them.
; qstr_It_is_my_duty_to_hel|It is my duty to help our people.
; qstr_It_is_my_duty_to_help|It is my duty to help our allies.
; qstr_The_people_of_{s3}_t|The people of {s3} thank you for your gift, {playername}. In exchange for your gift of {s1}, we will send the people of {s4} a gift of {s2}. I thank you once again, {playername}.
; qstr_I_want_to_deliver_a_|I want to deliver a gift to our allies.
; qstr_delivering_a_gift|delivering a gift
; qstr_I_want_to_bring_a_br|I want to bring a bribe to our allies.
; qstr_delivering_a_bribe|delivering a bribe
; qstr_{s2}_[{reg14}_Resour|{s2} [{reg14} Resource Points]
; qstr_Gift|Gift
; qstr_You_have_requested_t|You have requested to deliver a gift of {s1} to {s3} from {s2}. The people of {s3} will surely appreciate this kind gesture.
; qstr_Bribe|Bribe
; qstr_You_have_requested_to|You have requested to deliver a bribe of {s1} to {s3} from {s2}. Hopefully you can get some sort of reward from them in exchange.
; qstr_Taking_{reg0}_inf._A|Taking {reg0} inf. Alt?={reg1}
; qstr_You_spent_{reg0}_of_|You spent {reg0} of your influence with {s1}, with {reg1} remaining.
; qstr_The_War_is_over_{pla|The War is over, {playername}, haven't you heard?
; qstr_We_are_at_war_with_{|We are at war with {s12}. However, we are mostly fighting against {s13}.
; qstr_We_are_at_war_with_{s|We are at war with {s12}. However, there are only skirmishes at the moment.
; qstr_we_are_not_too_conce|we are not too concerned with them at the moment, since we are fighting other enemies closer to home
; qstr__under_your_orders|, under your orders
; qstr_These_soldiers_may_w|These soldiers may well turn the tide in my plans, {playername}. I am confident you've trained them well. My thanks and my compliments to you.
; qstr_Good_work_in_shaping|Good work in shaping up those recruits, {playername}, you have been most useful. Hopefully they'll last longer than the last batch, but come see me again if they don't.
; qstr_Well_the_soldiers_ar|Well, the soldiers are at your command now, sir. I am sure you will take good care of them.
; qstr_Well_you_may_do_as_y|Well, you may do as you please. My companions and I can always toughen up more if needed.
qstr_{s9}_asked_you_to_br|{s9} попросил вас привести ему дикого тролля для использования в своей армии.
; qstr_{s9}_asked_you_to_fi|{s9} asked you to find out what is going on in the Fangorn Forest, and to report back.
; qstr_{s9}_asked_you_to_fin|{s9} asked you to find the lost spears the dwarves once made for King Bladorthin. You will have to ask {s5} for permission to search for the spears in the depths of the Lonely Mountain.
; qstr_{s9}_has_asked_you_t|{s9} has asked you to slay the Dol Guldur sorcerer in Mirkwood.
; qstr_{s9}_asked_you_to_ta|{s9} asked you to take a message to {s13}. {s13} was believed to be at {s4} when you were given this quest.
; qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of {s15}. {s13} was believed to be at {s4} when you were given this quest.
; qstr_{s11}_asked_you_to_e|{s11} asked you to escort his messenger to {s14}.
qstr_Lend_your_experience|Предоставьте вашего опытного хирурга {s3} на службу к {s1}.
; qstr_No_commander_should_|No commander should have to admit this, {playername}, but I was inspecting my soldiers the other day and there are such here who don't know which end of a sword to hold. They need someone to show them the meaning of valor. You are a warrior of renown, {playername}. Will you train some troops for me? I would be grateful to you.
; qstr_No_commander_should_h|No commander should have to admit this, {playername}, but I was inspecting my soldiers the other day and executed some of them for incompetence. They need someone with steel in his back to flog some courage into them, or kill them trying. You are a warrior of renown, {playername}. Will you train some troops for me? I can make it worthwhile for you.
qstr_{s9}_asked_you_to_ra|{s9} попросил вас обучить {reg1} {s14} и привести их к нему
; qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be at {s3}.
; qstr_{s9}_asked_you_to_ca|{s9} asked you to catch the three groups of runaway slaves and bring them back to {s4}, alive and breathing. He said that all three groups are heading towards {s3}.
; qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
; qstr_{s11}_asked_you_to_c|{s11} asked you to capture an enemy commander and then bring him back to {s11} for questioning.
qstr_{s9}_asked_you_to_le|{s9} попросил вас предоставить ему вашего компаньона {s3} на неделю
; qstr_{s9}_has_requested_y|{s9} has requested you to bring him {reg1} enemy prisoners.
; qstr_We_have_reports_that|We have reports that several of our allied patrols were ambushed and defeated. Some of the men may still yet live, captured by the enemy. Yet, the morale of my troops suffers, as the captured men will surely be killed, imprisoned or worse. I want you to rescue {reg1} prisoners, and bolster the morale of our troops.
; qstr_We_have_reports_that_|We have reports that several of our patrols were ambushed and defeated. Some of the cowards may still yet live, captured by the enemy. As much as they are expendable, it's a waste to let them die in some prison hole. I want you to rescue {reg1} prisoners, and make them fight for us again.
; qstr_{s9}_has_asked_you_to|{s9} has asked you to rescue {reg1} prisoners.
; qstr_We_have_reports_that_a|We have reports that an enemy host may be gathering in {s13}. Clearly, this is of grave concern to me, as I don't know how many troops the enemy has and whether my soldiers will be ready to meet them on the field of battle. I want you to get close enough to {s13}, and find out as much as you can.
; qstr_My_spies_tell_me_of_|My spies tell me of a large group of warriors gathering in {s13}. They should be no match for us and our servants, but it wouldn't hurt to know just how many of them are there. I want you to get close enough to {s13}, and find out as much as you can.
qstr_{s9}_asked_you_to_sco|{s9} попросил вас разведать территорию вокруг {s13}.
; qstr_We_have_reports_of_s|We have reports of some enemy activity near {s13}. Our scouts have so far failed to get close enough and scout the area for enemy comings and goings. I want you to assemble a scouting party, get close enough to {s13}, and dispatch the scouts.
; qstr_My_spies_tell_me_the|My spies tell me the enemy is up to something in {s13}. Our cowardly scouts have so far failed to get close enough and tell us anything of import. I want you to recruit your own scouting party, get close enough to {s13}, and leave them there. Make sure they don't turn around and flee!
; qstr_{s9}_asked_you_to_di|{s9} asked you to dispatch a scout party near {s13}.^Obtain 7 soldiers of {s15}, of which at least 1 is {s14}, get close to {s13} and talk to the {s14} to dispatch the party.
; qstr_We_need_to_take_the_|We need to take the battle to the enemy, {playername}. At this moment, we can do this by striking at his patrols and communications. I want you to eliminate {reg1} {s13} parties, that would help us regain initiative.
; qstr_We_need_to_grind_dow|We need to grind down our worthless enemies, {playername}. Their patrols and supply trains are growing too bold for my liking. I want you to eliminate {reg1} {s13} parties, so they'll learn to fear what's coming.
; qstr_{s9}_asked_you_to_el|{s9} asked you to eliminate {reg1} {s13} parties.
qstr_{s9}_asked_you_to_fr|{s9} попросил вас спасти {s13} от угрозы Тролля, бушующего на границе.
; qstr_You_chose_well_{sir/|You chose well, {sir/madam}. My lads know how to keep their word and earn their pay.
; qstr_Well_done_{sir/madam|Well done, {sir/madam}. Keep the money and wine coming our way, and there's no foe in Calradia you need fear.
; qstr_We_are_at_your_servi|We are at your service, {sir/madam}. Point us in the direction of those who need hurting, and we'll do the rest.
; qstr_You_will_not_be_diss|You will not be dissapointed {sir/madam}. You will not find better warriors in all Calradia.
; qstr_What_an_amazing_feat|What an amazing feat of arms!
; qstr_Well_done!|Well done!
; qstr_Nice_legwork.|Nice legwork.
; qstr_Heh.|Heh.
; qstr_Good_moves_but_you_m|Good moves, but you may still need some work to do.
; qstr_More_than_half_of_th|More than half of the opponents, not bad.
; qstr_You_ll_need_to_try_h|You'll need to try harder than that.
; qstr_Well..._better_here_|Well... better here than in combat, eh?
; qstr_town|town
; qstr_village|village
; qstr_The_{s9}_of_{s13}_ha|The {s9} of {s13} has asked you to deal with tribal orcs in the surrounding countryside.
; qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the {s10} in {s4} in {reg6} days.
; qstr_The_{s9}_of_{s3}_ask|The {s9} of {s3} asked you to bring him {reg5} units of food in {reg6} days.
; qstr_The_{s9}_of_{s3}_aske|The {s9} of {s3} asked you to bring him {reg5} units of {s6} in {reg0} days.
qstr_Escort_the_supply_tr|Сопроводи Обоз Снабжения в {s8}.
qstr_The_{s9}_of_{s4}_ask|{s9} из {s4} попросил вас выследить беспокойных гоблинов в окрестностях города.
; qstr_The_{s9}_of_{s14}_ha|The {s9} of {s14} has asked you to deal with a group of goblins making trouble in {s14}. They only come out at night, and only attack lone people on the streets.
; qstr_refugees|refugees
; qstr_slaves|slaves
; qstr_{s1}_Refugees|{s1} Refugees
; qstr_{s1}_Slaves|{s1} Slaves
; qstr_The_{s11}_of_{s10}_a|The {s11} of {s10} asked you to escort some {s12} to {s13}.
; qstr__Guards_slaughter_hi| Guards, slaughter him!
; qstr_Slaughter_him_for_fr|Slaughter him for fresh human meat!
; qstr_This_is_{s5}_Command|This is {s5}, Commander.
; qstr_{s6}_This_place_and_|{s6} This place and the surrounding lands belong to you of course, my {lord/lady}.
; qstr_{s6}_This_place_and_t|{s6} This place and the surrounding lands belong to {s7} of {s8}.
; qstr_{s3}_and_{s5}|{s3} and {s5}
; qstr_{s3}_{s5}|{s3}, {s5}
; qstr_{reg20?We_mostly_pro|{reg20?We mostly produce {s5} here:We don't produce much here these days}. If you would like to learn more, you can speak with our {reg4?guildmaster:village elder}. He is nearby, right over there.
; qstr_Hey_scum!_I_can_fix_|Hey scum! I can fix that jaw of yours.
; qstr_Watch_where_you_re_g|Watch where you're going, maggot!
; qstr_I_don_t_like_your_fa|I don't like your face! I think it needs some fixing.
; qstr_What_are_you_looking|What are you looking at? WHAT?
; qstr_the_white_hand|the white hand
; qstr_the_lidless_eye|the lidless eye
; qstr_I_have_some_of_your_|I have some of your people with me. I'll let them join you, to help your cause.
; qstr_Some_of_your_stinky_|Some of your stinky kin are with me. I'm sure they'd rather go with you.
; qstr_{s4}_It_is_always_go|{s4} It is always good to see one of our own.
; qstr_a_nearby_town|a nearby town
; qstr_that_town_over_there|that town over there
; qstr_{s4}^We_are_from_{s1|{s4}^We are from {s11}, scouting in the direction of {s12}.
; qstr_{s4}^We_are_{reg1?fo|{s4}^We are {reg1?foraging:raiding} around {s11}.
; qstr_{s4}^We_are_patrolli|{s4}^We are patrolling around {s11}.
; qstr_{s4}^We_are_carrying|{s4}^We are carrying supplies from {s11} to {s12}.
; qstr_{s4}^We_are_escortin|{s4}^We are escorting prisoners to {s12}.
; qstr_Greetings_do_you_nee|Greetings, do you need reinforcements?
; qstr_Goodbye_friends.|Goodbye, friends.
; qstr_See_you_later_if_you|See you later if you don't get killed.
; qstr__^Oh_and_take_back_t| ^Oh, and take back those who are not our people.
; qstr_{s31}{reg28?Those:That}_|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend our lands.{s32} {s23}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:That}_u|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us wreak more havoc.{s32}^{s23}^^[earned {reg14} Resource Points of {s14}]
; qstr_Good_luck_in_your_tr|Good luck in your travels.
; qstr_Try_not_getting_your|Try not getting yourself killed.
