qstr_Gate_is_breached!|Portão está quebrado!
qstr__+1_to_Strength__per|+1 de Força (permanente)
qstr__+1_to_Charisma__per|+1 em Carisma (permanente)
; qstr_The_dark_shadow_fina|The dark shadow finally broke into a storm, and evil hordes started their march on the free people of Middle Earth. Mordor against Gondor in the South, Isengard agains Rohan in the West, Dol Guldur against the Elves... Even in the far North there is a war of its own.
qstr_The_War_has_started!|A guerra se inicia!
qstr_The_forest_seems_pea|A floresta parece pacífica.
qstr_There_is_a_sense_of_|Há uma sensação de perigo no ar.
qstr_You_have_a_feeling_y|Você sente que já perturbou a floresta o suficiente.
qstr_Get_out_now!|Saia, agora!
; qstr_You_are_inside_Fango|You are inside Fangorn. {s11}
; qstr_Your_party_witnessed|Your party witnessed orcs eating prisoners.
; qstr_Your_party_s_morale_|Your party's morale has risen from hatred.
; qstr_Your_party_s_morale_h|Your party's morale has fallen from fear.
; qstr_{s27}:_Influence_wit|{s27}: Influence with {s1} increases from {reg2} to {reg1}.
; qstr_{s27}:_Influence_with|{s27}: Influence with {s1} decreases from {reg2} to {reg1}.
; qstr_{s27}:_Party_morale_|{s27}: Party morale increased.
; qstr_{s27}:_Party_morale_d|{s27}: Party morale decreased.
; qstr_You_have_failed_to_f|You have failed to fulfill your oath of vengeance for {s1}'s heroic death!
; qstr_You_have_fulfilled_y|You have fulfilled your oath of vengeance for {s1}'s heroic death!
; qstr_As_an_Orc_or_a_Dwarf|As an Orc or a Dwarf, you can take advantage of the Custom Camera we have implemented in order to improve your experience with TLD's shorter races. See Game Concepts for more information about how to use this.
qstr_Custom_Camera|Câmera personalizada
; qstr_{reg65?my_Lady:my_Lo|{reg65?my Lady:my Lord}
; qstr_{reg65?My_Lady:My_Lo|{reg65?My Lady:My Lord}
; qstr_{reg65?mistress:mast|{reg65?mistress:master}
; qstr_{reg65?Mistress:Mast|{reg65?Mistress:Master}
qstr_{reg65?madame:sir}|{reg65? madame:sir}
; qstr_{reg65?Madame:Sir}|{reg65?Madame:Sir}
; qstr_How_do_magnets_work?|How do magnets work?
; qstr_Um..._by_enchanting_|Um... by enchanting iron?
; qstr_Magnets_are_made_of_|Magnets are made of metal, which is mined from the ground. They are magnetic because the metal still contains pieces of gravity inside it.
; qstr_i_wont_a_bonerlrord_|i wont a bonerlrord port nao!!11!
; qstr_I_m_sure_the_TLD_tea|I'm sure the TLD team will get to it when they can.
; qstr_Install_TLD_in_your_|Install TLD in your Bannerlord Modules folder, add the line 'compatible_with_wfas = 1' to module.ini, and you can play it both on Warband AND Warrider 0.202!
qstr_dis_mod_takes_2_long|dis mod leva 2 releaze tempo 2! sux!!!! 11.
qstr_Well_there_s_a_lot_o|Então, tem melhorias gráficas e tal, acho que isso leva tempo.
; qstr_It_has_been_recently|It has been recently released, if you missed the link, you can download it at lemonparty.org.
; qstr_i_wont_decapitated_e|i wont decapitated elephants in multi, nao!!11!
qstr_I_don_t_think_there_|Acho que não há multiplayer no TLD, mas os elefantes seria bom.
; qstr_There_is_a_hidden_el|There is a hidden elephant deathmatch mode in TLD, but you need to remove all your savegames first, play for a 100 game days without saving then go to the character screen and press Alt+F4. Totally worth it!
; qstr_Did_you_bring_your_z|Did you bring your zupdog?
; qstr_What_s_zupdog?|What's zupdog?
; qstr_My_zupdog_is_ill_but|My zupdog is ill, but I brought my zupmaiass.
; qstr_Wai_no_plate_armour_|Wai no plate armour in mod???
; qstr_What_is_plate_armour|What is plate armour? Never heard of it.
; qstr_Wai_no_female_trolls|Wai no female trolls? Eh? Eh? You ma biatch!
; qstr_WHEN_U_REALSE_MOD?!!|WHEN U REALSE MOD?!!?
; qstr_But_we_did_release._|But we did release. You're in it. And why are you shouting?
; qstr_YES!_ALSO_SOMETIMES_|YES! ALSO SOMETIMES IS!
; qstr_Wai_u_no_work_wiht_o|Wai u no work wiht otehr mods to make a super LOTR mod?
; qstr_Every_mod_team_works|Every mod team works according to their standards, you can't make mods cooperate if their vision is different.
; qstr_Because_we_don_t_hav|Because we don't have a sense of humour and most of them are just too funny for us.
; qstr_In_movies_trolls_are|In movies trolls are big and fat, wai u make me skinny?
; qstr_We_interpreted_Tolki|We interpreted Tolkien like this.
qstr_But_we_did_make_you_|Mas nós fizemos você como estúpido como no cinema. Isso tem que servir para alguma coisa.
; qstr_What_is_news?_Got_an|What is news? Got any screenshots?
; qstr_Well_just_look_aroun|Well just look around you, what do you need screenshots for?
; qstr_Say_cheese!|Say cheese!
; qstr_Why_did_you_make_mod|Why did you make mod installation so complex?
; qstr_Well_if_you_are_here|Well, if you are here and talking to me, you must've RTFM successfully after all
; qstr_You_just_got_windyfl|You just got windyflorated!
qstr_Treebeard_wants_you_|Treebeard quer que você encontrar e derrotar os orcs o corte de árvores em Fangorn .
; qstr_Something_wrong_not_|Something wrong, not enought troops for scout party
qstr_my_home_town|minha cidade natal
qstr_I_am_in_perfect_heal|Estou em perfeita saúde.
; qstr_I_am_suffering_from_|I am suffering from {s1}.
; qstr_I_am_suffering_from_{|I am suffering from {s1} and {s2}.
; qstr_I_am_suffering_from_{s|I am suffering from {s1}, {s2}, and {s3}.
; qstr_I_am_suffering_from_{s1|I am suffering from {s1}, {s2}, {s3} and {s4}.
; qstr_I_don_t_have_any_ser|I don't have any serious injuries, thank you.
qstr_Good_day_to_you.|Bom dia para você.
qstr_Ah_it_s_you_again._G|Ah, é você de novo. Adeus.
; qstr_My_apologies_if_I_wa|My apologies if I was rude, earlier. What was your story again?
; qstr_I_was_reconsidering_|I was reconsidering our last conversation. What was your story again?
qstr_Greetings_{s23}_{s24|Saudações, {s23}, {s24}.
qstr_Greetings_{s23}.|Saudações, {s23}.
; qstr_So_you_are_{s23}._I_|So, you are {s23}. I hear you fight for our {s25} friends, so I guess I should consider you an ally.
; qstr_I_need_volunteers_wi|I need volunteers willing to follow me on dangerous missions.
; qstr_I_need_some_soldiers|I need some soldiers to replace my dead.
; qstr_{playername}_s_Reser|{playername}'s Reserves
; qstr_Excellent_job_{s23}!|Excellent job, {s23}! I wish all our commanders were as dedicated as you.^
; qstr_Nicely_done_{s23}.|Nicely done, {s23}.
qstr_Good_work_{s23}.|Bom trabalho, {s23}.
; qstr_The_more_you_capture|The more you capture, the better, {s23}.
; qstr_Caught_a_few_straggl|Caught a few stragglers, {s23}?
; qstr_I_am_sorry_no_one_el|I am sorry, no one else is ready to go.^They will serve {s22} by holding the defences here.
; qstr_Tough_luck_but_we_do|Tough luck, but we don't have any. Come back later.
; qstr_There_are_brave_sold|There are brave soldiers willing to risk their life, but in these dark times I cannot afford to let them leave the defences here.^^^[not enough Resource Points]
; qstr_We_have_some_spare_t|We have some spare troops, but we can't afford to lose them to the likes of you.^^^[not enough Resource Points]
; qstr_There_are_brave_soldi|There are brave soldiers here volunteering for field duty.^^I think I can let a few of them go with you.
; qstr_There_are_spare_troo|There are spare troops here that wouldn't mind a little blood-letting.^^I can let a few of them go with you.
; qstr_Strenghten_defences_|Strenghten defences in {s21}? This is surely welcome. Note that we can only accept our own people.
; qstr_Strenghten_defences_i|Strenghten defences in {s21}? Well, as long as they are not crippled, why not. Just be sure you give away our own troops, for we have no use for outsiders here.
; qstr_Please_return_them_i|Please return them in one piece. I personally know the valor of each one of them. And here we need every soul.
; qstr_Don_t_let_them_all_d|Don't let them all die in one place. Except the cowards. Put those in your front ranks, you know the drill by now.
qstr_Thank_you_commander.|Obrigado, comandante.^
; qstr_^{s22}_is_grateful_t|^{s22} is grateful to you, {s23}, {s29}^
; qstr_{s31}{reg28?Those:Th|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:Tha|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us hold {s21}.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s4}_^Oh_and_take_ba|{s4} ^Oh, and take back those of your soldiers, that are not our kin.
; qstr_I_don_t_need_them_an|I don't need them anyway, so save it.
; qstr_It_is_my_duty_to_pro|It is my duty to protect our people.
; qstr_It_is_my_duty_to_prot|It is my duty to protect our allies.
; qstr_I_am_{s4}_{s15}_of_{|I am {s4}, {s15} of {s6}
; qstr_I_am_{s4}_a_commande|I am {s4}, a commander of {s6}
; qstr_{s9}{reg5?_and_the_r|{s9}{reg5? and the ruler of {s8}.:.
; qstr_Very_well_done_{play|Very well done, {playername}! You captured both the spy and his handler, just as I'd hoped, and the pair are now safely locked up, waiting to be questioned. They will have some explaining to do! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
; qstr_Beautiful_work_{play|Beautiful work, {playername}! You captured both the spy and his handler, just as you were told, and the pair are now safely locked up in my dungeon, waiting to be questioned. My torturer shall be busy tonight! Anyway, I'm very pleased with your success, {playername}, and I give you this purse as a token of my appreciation.
; qstr_Your_mission_is_comp|Your mission is complete, {s9} wants you to resume following his army until further notice.
; qstr_{s13}_asked_you_to_g|{s13} asked you to gather {reg3} units of {s4} and deliver them back to him.
; qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, then report back.
qstr_You_have_been_most_h|Você foi de grande ajuda, {playername}. Muito obrigado.
qstr_You_are_a_good_serva|Você é um bom servo, {playername}. Continue.
; qstr_Superb_work_{playern|Superb work, {playername}. I admire your attitude.
; qstr_Your_efficiency_is_p|Your efficiency is pleasing, {playername}. Continue and you will go far.
; qstr_It_was_an_honour_to_|It was an honour to serve.
; qstr_Your_wish_is_my_comm|Your wish is my command.
qstr_we_are_fighting_agai|nós estamos lutando contra {s13}
qstr_we_are_not_fighting_|não estamos lutando com ninguém no momento
; qstr_Oh?_Let_me_see_that.|Oh? Let me see that... Well well well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see him again.
; qstr_Give_me_that!_Hrmph!|Give me that! Hrmph! Good that you brought me this, {playername}, you are a useful servant. Tell {s9} to employ you more often.
; qstr_What?_Let_me_see_tha|What? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Now begone.
; qstr_Give_me_that!_Hrmph!_|Give me that! Hrmph! You are a useful servant to your masters, {playername}, but all of you will be dead before long. Not now though, so scurry off.
; qstr_The_search_for_the_L|The search for the Lost Spears has led you to Dorwinion, the site of the ancient northern kingdom of King Bladorthin. TO BE CONTINUED
qstr_You_need_to_have_a_p|Você precisa de um grupo com no mínimo 30 de força para começar essa missão
; qstr_You_were_tasked_to_h|You were tasked to hunt down the bandits that have been recently wreaking havoc in the North. You can either attack them in their hideout near Mirkwood Forest or intercept them near Beorn's House.
; qstr_Mordor_Gains_Faction|Mordor Gains Faction Strength as they received an unknown weapon
; qstr_Beornings_gain_Facti|Beornings gain Faction Strength as news of your victory spreads.
; qstr_Beornings_loses_Fact|Beornings loses Faction strength when they were attacked.
; qstr__{s14}_gains_faction| {s14} gains faction strength as news of the Ring of Power spreads.
; qstr_You_must_return_and_|You must return and report back that you have defeated the Ring Hunter leaders and have taken a magical ring.
; qstr_You_must_return_and_r|You must return and report back that you have defeated the Ring Hunter party, but the leaders may have acquired what they were looking for.
qstr_Do_you_need_reinforc|Você precisa de reforços?
qstr_You_don_t_look_too_s|Você não parece tão forte, você precisa de tropas?
; qstr_^{s14}_is_grateful_t|^{s14} is grateful to you, {playername}, {s29}^
; qstr_{s31}{reg28?Those:That|{s31}{reg28?Those:That} brave {reg28?soldiers:soldier} will surely help us defend our lands.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s31}{reg28?Those:That}|{s31}{reg28?Those:That} useful {reg28?troops:troop} will help us wreak more havoc.{s32}^^[earned {reg14} Resource Points of {s14}]
; qstr_{s4}_^Oh_and_take_bac|{s4} ^Oh, and take back those soldiers who are not our kin, I have no use for them.
; qstr_It_is_my_duty_to_hel|It is my duty to help our people.
; qstr_It_is_my_duty_to_help|It is my duty to help our allies.
; qstr_The_people_of_{s3}_t|The people of {s3} thank you for your gift, {playername}. In exchange for your gift of {s1}, we will send the people of {s4} a gift of {s2}. I thank you once again, {playername}.
qstr_I_want_to_deliver_a_|Eu quero dar um presente para nossos aliados.
qstr_delivering_a_gift|entregando um presente
; qstr_I_want_to_bring_a_br|I want to bring a bribe to our allies.
; qstr_delivering_a_bribe|delivering a bribe
; qstr_{s2}_[{reg14}_Resour|{s2} [{reg14} Resource Points]
qstr_Gift|Presente
; qstr_You_have_requested_t|You have requested to deliver a gift of {s1} to {s3} from {s2}. The people of {s3} will surely appreciate this kind gesture.
; qstr_Bribe|Bribe
; qstr_You_have_requested_to|You have requested to deliver a bribe of {s1} to {s3} from {s2}. Hopefully you can get some sort of reward from them in exchange.
; qstr_Taking_{reg0}_inf._A|Taking {reg0} inf. Alt?={reg1}
; qstr_You_spent_{reg0}_of_|You spent {reg0} of your influence with {s1}, with {reg1} remaining.
; qstr_The_War_is_over_{pla|The War is over, {playername}, haven't you heard?
; qstr_We_are_at_war_with_{|We are at war with {s12}. However, we are mostly fighting against {s13}.
; qstr_We_are_at_war_with_{s|We are at war with {s12}. However, there are only skirmishes at the moment.
; qstr_we_are_not_too_conce|we are not too concerned with them at the moment, since we are fighting other enemies closer to home
; qstr__under_your_orders|, under your orders
; qstr_{s9}_asked_you_to_de|{s9} asked you to defend a village under attack.
qstr_{s9}_asked_you_to_ra|{s9} pediu para levantar {reg1} {s14} e trazê-los para ele.
; qstr_These_soldiers_may_w|These soldiers may well turn the tide in my plans, {playername}. I am confident you've trained them well. My thanks and my compliments to you.
; qstr_Good_work_in_shaping|Good work in shaping up those recruits, {playername}, you have been most useful. Hopefully they'll last longer than the last batch, but come see me again if they don't.
; qstr_Well_the_soldiers_ar|Well, the soldiers are at your command now, sir. I am sure you will take good care of them.
; qstr_Well_you_may_do_as_y|Well, you may do as you please. My companions and I can always toughen up more if needed.
qstr_{s9}_asked_you_to_br|{s9} pedi para trazer de volta um selvagem troll para uso em seu exército.
; qstr_{s9}_asked_you_to_fi|{s9} asked you to find out what is going on in the Fangorn Forest, and to report back.
; qstr_{s9}_asked_you_to_fin|{s9} asked you to find the lost spears the dwarves once made for King Bladorthin. You will have to ask {s5} for permission to search for the spears in the depths of the Lonely Mountain.
; qstr_{s9}_has_asked_you_t|{s9} has asked you to slay the Dol Guldur sorcerer in Mirkwood.
; qstr_{s9}_asked_you_to_ta|{s9} asked you to take a message to {s13}. {s13} was believed to be at {s4} when you were given this quest.
; qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of {s15}. {s13} was believed to be at {s4} when you were given this quest.
; qstr_{s11}_asked_you_to_e|{s11} asked you to escort his messenger to {s14}.
qstr_Lend_your_experience|Empreste seu cirurgião experiente {s3} para {s1}.
; qstr_No_commander_should_|No commander should have to admit this, {playername}, but I was inspecting my soldiers the other day and there are such here who don't know which end of a sword to hold. They need someone to show them the meaning of valor. You are a warrior of renown, {playername}. Will you train some troops for me? I would be grateful to you.
; qstr_No_commander_should_h|No commander should have to admit this, {playername}, but I was inspecting my soldiers the other day and executed some of them for incompetence. They need someone with steel in his back to flog some courage into them, or kill them trying. You are a warrior of renown, {playername}. Will you train some troops for me? I can make it worthwhile for you.
qstr_{s9}_asked_you_to_rai|{s9} pediu para levantar {reg1} {s14} e trazê-los para ele.
; qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be at {s3}.
; qstr_{s9}_asked_you_to_ca|{s9} asked you to catch the three groups of runaway slaves and bring them back to {s4}, alive and breathing. He said that all three groups are heading towards {s3}.
; qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
; qstr_{s11}_asked_you_to_c|{s11} asked you to capture an enemy commander and then bring him back to {s11} for questioning.
qstr_{s9}_asked_you_to_le|\n{s9}  lhe pediu para emprestar seu companheiro {s3} com ele por uma semana.
; qstr_{s9}_has_requested_y|{s9} has requested you to bring him {reg1} enemy prisoners.
; qstr_We_have_reports_that|We have reports that several of our allied patrols were ambushed and defeated. Some of the men may still yet live, captured by the enemy. Yet, the morale of my troops suffers, as the captured men will surely be killed, imprisoned or worse. I want you to rescue {reg1} prisoners, and bolster the morale of our troops.
; qstr_We_have_reports_that_|We have reports that several of our patrols were ambushed and defeated. Some of the cowards may still yet live, captured by the enemy. As much as they are expendable, it's a waste to let them die in some prison hole. I want you to rescue {reg1} prisoners, and make them fight for us again.
; qstr_{s9}_has_asked_you_to|{s9} has asked you to rescue {reg1} prisoners.
; qstr_We_have_reports_that_a|We have reports that an enemy host may be gathering in {s13}. Clearly, this is of grave concern to me, as I don't know how many troops the enemy has and whether my soldiers will be ready to meet them on the field of battle. I want you to get close enough to {s13}, and find out as much as you can.
; qstr_My_spies_tell_me_of_|My spies tell me of a large group of warriors gathering in {s13}. They should be no match for us and our servants, but it wouldn't hurt to know just how many of them are there. I want you to get close enough to {s13}, and find out as much as you can.
qstr_{s9}_asked_you_to_sco|{s9} pediu para um reconhecimento {s13}.
; qstr_We_have_reports_of_s|We have reports of some enemy activity near {s13}. Our scouts have so far failed to get close enough and scout the area for enemy comings and goings. I want you to assemble a scouting party, get close enough to {s13}, and dispatch the scouts.
; qstr_My_spies_tell_me_the|My spies tell me the enemy is up to something in {s13}. Our cowardly scouts have so far failed to get close enough and tell us anything of import. I want you to recruit your own scouting party, get close enough to {s13}, and leave them there. Make sure they don't turn around and flee!
; qstr_{s9}_asked_you_to_di|{s9} asked you to dispatch a scout party near {s13}.^Obtain 7 soldiers of {s15}, of which at least 1 is {s14}, get close to {s13} and talk to the {s14} to dispatch the party.
; qstr_We_need_to_take_the_|We need to take the battle to the enemy, {playername}. At this moment, we can do this by striking at his patrols and communications. I want you to eliminate {reg1} {s13} parties, that would help us regain initiative.
; qstr_We_need_to_grind_dow|We need to grind down our worthless enemies, {playername}. Their patrols and supply trains are growing too bold for my liking. I want you to eliminate {reg1} {s13} parties, so they'll learn to fear what's coming.
; qstr_{s9}_asked_you_to_el|{s9} asked you to eliminate {reg1} {s13} parties.
qstr_{s9}_asked_you_to_fr|{s9} pediu-lhe para libertar {s13} da ameaça de um Troll que grassa na sua periferia .
; qstr_the_Dwarves_so_that_|the Dwarves, so that if you pass by Erebor or the Iron Hills, you can try to arm yourself with the fabled Dwarven weaponry
; qstr_Gondor_so_that_if_yo|Gondor, so that if you pass by their lands, you can try to purchase some of their well-known armours
; qstr_Rohan_so_that_if_you|Rohan, so that if you pass by their lands, you can try to purchase some of their fabled horses
; qstr_Dale_so_that_if_you_|Dale, so that if you pass by their lands, you can try to purchase some of their well-known bows
; qstr_It_sure_look_like_yo|It sure look like you did, Mordor scum.. ^^I have heard the call by the Great Hand, to bring fear to the realm of men, and to kill as many of the horse-men as we can.
; qstr_It_sure_look_like_you|It sure look like you did. ^^The Dark Lord has called, and I am here to answer it and destroy the realm of men
; qstr_*Snort*_There_is_onl|*Snort* There is only ONE Lord, and that is the The Dark Lord. You have no place in this war, weakling. Leave me to my mission
; qstr_*Snort*_Another_weak|*Snort* Another weakling to reinforce our meat shield. Leave me to my mission.
; qstr_It_s_their_local_mon|It's their local money.. not worth anything in Mordor. Take it! You can use these to get some Moria Orcs to follow you...and maybe to get rid of them! haha! Stupid Moria orcs...
; qstr_It_s_their_local_mone|It's their local money.. not worth anything in Mordor. Take it!  You can use these to arm yourself with the weapons of Isengard... They do strange things over there, near that tower. The smoke never ends! But they are all no match to the might of The Dark Lord!
; qstr_It_s_their_local_money|It's their local money.. not worth anything in Mordor. Take it!  You can use these to buy some furs from Gundabad. Those orcs are dumb and ugly, but they do have good furs.
; qstr_Take_it!_You_can_use|Take it! You can use these to buy weapons from Mordor. We only have the best!
; qstr_It_s_their_local_money.|It's their local money.. not worth anything in Mordor. Take it! You can use these to buy some weapons from the horse people of Rhun...or maybe buy a horse to eat! They might kill you! HAHAHA!
; qstr_Here_s_some_of_their|Here's some of their own local money that I won...not worth anything in Mordor...Take it! You can use these to get some Moria Orcs to follow you...and maybe to get rid of them! haha! Stupid Moria orcs...
; qstr_Here_s_some_of_their_|Here's some of their own local money that I won..not worth anything in Mordor...Take it!  You can use these to arm yourself with the weapons of Isengard... They do strange things over there, near that tower. The smoke never ends! But they are all no match to the might of The Dark Lord!
; qstr_Here_s_some_of_their_o|Here's some of their own local money that I won..not worth anything in Mordor...Take it!  You can use these to buy some furs from Gundabad. Those orcs are dumb and ugly, but they do have good furs.
; qstr_Here_s_some_money_th|Here's some money that I won. Take it! You can use these to buy weapons from Mordor. We only have the best!
; qstr_Here_s_some_of_their_ow|Here's some of their own local money that I won..not worth anything in Mordor...Take it! You can use these to buy some weapons from the horse people of Rhun...or maybe buy a horse to eat! They might kill you! HAHAHA!
; qstr_That_is_not_a_smart_|That is not a smart thing to say in front of a Rhun Warrior...Next time I see you, I will kill you.
; qstr_They_will_all_know_m|They will all know my name... They will know to fear it
; qstr_Suilad_mellon!_It_is|Suilad, mellon! It is not oft we meet folk from the Hidden Valley in our realm. We give thanks to the stars they lead you to our aid, and to you as well - le hannon!
; qstr_Suilad_mellon!_It_is_|Suilad, mellon! It is rare to have one of our woodland kin come to our aid - le hannon!
; qstr_Suilad_mellon!_That_|Suilad, mellon! That is - thank you, friend!^^ At first I wasn’t sure if a goblin sabre, or a raging bear would be our doom. Alas, the stars were kind to send you to our aid.
; qstr_Alas_it_is_not_a_ple|Alas, it is not a pleasant purpose or mere wandering that bring me and others serving lord Elrond to these lands... 
; qstr_You_wouldn_t_have_ne|You wouldn't have need of our aid if you kept your borders shut!
; qstr__*growl*_I_know_your|(*growl* I know your tongue, elf, well enough to know if you mock me or if you give thanks... 
; qstr_Istan_quete_ya_merin|Istan quete ya merin, ar lá hanyuvatyen. Deep are my master’s designs, not for all to see and understand.
; qstr_Alae!_Our_green_wood|Alae! Our green woods are heavily patrolled, our thick gates stand firm, king Thranduil’s halls secure. It would be wise to follow our example.
; qstr__say_nothing_|(say nothing)
; qstr_Alas_it_is_not_a_plea|Alas, it is not a pleasant purpose or mere wandering that bring me and others serving lord Elrond to these lands. ^^An ancient evil stirred in the dark places and now it swarms into the light. Wise ones across the Mountains answered the call and hosts of Imladris march to battle, to fight for the North.
; qstr_You_wouldn_t_have_nee|You wouldn't have need of our aid if you kept your borders shut! ^^Tales of the Forest Witch only scare away witless fools - not so the orc filth we just slew.
; qstr_*growl*_I_know_your_|*growl* I know your tongue, elf, well enough to know if you mock me or if you give thanks.^^ Stars had none to do with it - I sensed the filth and followed a trail. I would have slain them were you in danger or not.
; qstr_Keep_your_secrets_th|Keep your secrets then, friend, but the Golden Woods whisper of your kin’s arrival. ^^We will inform our lady Galadriel of lord Elrond’s coming, though I suspect she knows of it already. And we shall speak of you too, to all our people. ^^Le maethor veleg a gornui! Your valour and deeds shall be known and your needs met whenever you visit our Valley of Singing Gold.
; qstr_We_walk_under_the_su|We walk under the sun and the stars, to dwell in caves is not our desire. Still, your undoubtedly well meant council is well received. ^^Your wisdom and brave deeds shall be known, your needs met whenever you wander into our domain.
; qstr_*he_sighs_and_smiles|*he sighs and smiles slightly* ^^Very well. For our common purpose we are happy to share all, even if words are in short supply where you come from.
; qstr_For_some_months_we_h|For some months we have watched the orc filth multiplying and staining our woods. ^^We will inform our lady Galadriel of lord Elrond’s coming, though I suspect she knows of it already. And we shall speak of you too, to all our people. ^^Le maethor veleg a gornui! Your valour and deeds shall be known and your needs met whenever you visit our Valley of Singing Gold.
; qstr_Calm_yourself_friend|Calm yourself, friend. Pedin i phith in aniron, a nin u-cheniathog. ^^We shall speak of you to all our people. Your valour and deeds shall be known, your needs met whenever you come to bask in the light of our Golden Valley.
; qstr_Stars_sail_through_t|Stars sail through the heavenly seas, men tread the earth. Truly, who can say if their paths follow each other? We shall speak of you to all our people. Your deeds shall be known and your needs met, were you to chase a star to the Golden Valley.
; qstr__RESOURCE_POINT_TUTO|(RESOURCE POINT TUTORIAL)^^ Resource Points which you can use to purchase from the people of Lorien are not the ones you earned in your own faction, but the ones you will earn in Lothlorien. ^^See REPORTS for more information.
qstr__RESOURCE_POINT_TUTOR|(TUTORIAL DE PONTOS DE RECURSO)^^ Pontos de Recurso que você pode usar para comprar do povo de Beorn não são aqueles que você ganhou em Lothlorien, mas aqueles que você conseguirá de Beorn. ^^Veja RELATÓRIOS para mais informações
; qstr_I_have_long_wished_t|I have long wished to visit the woodland folk...
; qstr_What_form_shall_the_|What form shall the favour of Lorien take...
; qstr_Our_bees_make_honey_|Our bees make honey and wax, our herds give milk, butter and cheese...
; qstr_I_have_long_wished_to|I have long wished to visit the woodland folk, taste your lembas and hear your songs! ^^We brought sparkling golden wines, dusty tomes and proud ancient banners to remind us of our stream-singing valley, but I’m curious what unique wonders are to be found in Laurelindorenan.
; qstr_What_form_shall_the_f|What form shall the favour of Lorien take? ^^Gold that turns into leaves come morning? Clear tasteless drink and dusty fairy-bread for my troops? ^^Blood-red wine, freshly hunted deer, armouries filled with sharp spears and keen arrows! That is hospitality I prefer.
; qstr_Our_bees_make_honey_a|Our bees make honey and wax, our herds give milk, butter and cheese.^^ Bread we make ourselves, a sharp axe I can trade for with dwarves when they pass through.^^ What else would I need, what more than a pair of strong hands?
; qstr_If_fate_wills_it_I_s|If fate wills it, I shall walk your lands again, and know all their secrets.
; qstr_If_I_ever_have_need_|If I ever have need for the kind of help Lorien can offer, I shall come for it. Whatever use it may be.
; qstr__nod_and_say_nothing|(nod and say nothing)
; qstr_Oh_there_are_many_an|Oh, there are many and any friend of Lorien is welcome to these gifts! ^^Should we stand shoulder to shoulder on the field of battle again, or should you do the bidding of our Lady and her lords, our people will reward your kindness with all you would require - bright weapons, hard corselets of mail, white-feathered arrows and provisions for your troops. ^^Who knows, in time you might become a great {lord/lady} of Lorien yourself, one who could offer council to others, or ask favours of them.
; qstr_The_joys_of_the_Gold|The joys of the Golden Valley are many and a true friend of Lorien is welcome to them. ^^Should we stand shoulder to shoulder on the field of battle again, or should you do the bidding of our Lady and her lords, our people will reward your effort with all you would require - bright weapons, hard corselets of mail, deadly arrows and nourishing food for your troops.^^Who knows, in time you might become a great {lord/lady} of Lorien yourself, one who would share wisdom with others, or ask favours of them.
; qstr_Our_Golden_Valley_gi|Our Golden Valley gives goods aplenty and a friend to Lorien is welcome to them. ^^Should we stand shoulder to shoulder on the field of battle again, or should you aid the designs of our Lady and her lords, our people will reward your effort with all you would require while far away from home.
; qstr_I_shall_keep_that_in|I shall keep that in mind.^^ Hantanyel, áva márië!
; qstr_That_may_be_so_some_|That may be so, some paths of the world run crooked.^^ Boe i 'waen!
; qstr_I_seldom_wander_far_|I seldom wander far away from home. Be off now, as fast as you can. There may be more goblins prowling around.
; qstr_You_chose_well_{sir/|You chose well, {sir/madam}. My lads know how to keep their word and earn their pay.
; qstr_Well_done_{sir/madam|Well done, {sir/madam}. Keep the money and wine coming our way, and there's no foe in Calradia you need fear.
; qstr_We_are_at_your_servi|We are at your service, {sir/madam}. Point us in the direction of those who need hurting, and we'll do the rest.
; qstr_You_will_not_be_diss|You will not be dissapointed {sir/madam}. You will not find better warriors in all Calradia.
; qstr_What_an_amazing_feat|What an amazing feat of arms!
; qstr_Well_done!|Well done!
; qstr_Nice_legwork.|Nice legwork.
; qstr_Heh.|Heh.
; qstr_Good_moves_but_you_m|Good moves, but you may still need some work to do.
; qstr_More_than_half_of_th|More than half of the opponents, not bad.
; qstr_You_ll_need_to_try_h|You'll need to try harder than that.
; qstr_Well..._better_here_|Well... better here than in combat, eh?
; qstr_town|town
; qstr_village|village
; qstr_The_{s9}_of_{s13}_ha|The {s9} of {s13} has asked you to deal with tribal orcs in the surrounding countryside.
