qstr_A_thunderstorm_from_t  = "Dumanlı Dağlar'dan gelen bir fırtına, savaş meydanında daha şiddetli bir hale geliyor. Okçular bu havada zorlanacak gibi görünüyor."
qstr_A_poisonous_fog_from  = "Dol Guldur'dan zehirli bir sis, savaş alanını kaplıyor. Sen ve adamların zayıflamış hissediyorsunuz. Adamlarınız arasında korku dolaşıyor."
qstr_A_poisonous_fog_from_  = "Dol Guldur'dan zehirli bir sis, savaş alanını kaplıyor. Sen pek bir fark hissetmiyorsun, ama düşmanlarının acısını duyuyor ve korkunun kokusunu alabiliyorsun."
qstr_You_shapeshift_into_  = "Bir ayıya dönüştün!"
qstr_You_got_{reg1}_xp_in  = "Ayı şeklindeyken {reg1} kadar tecrübe kazandın"
qstr_Your_ability_to_chan  = "Şekil değiştirme yeteneğin tezahür etti, bundan böyle yabani yollarda hem insan hem de ayı olarak gezebilirsin."
qstr_You_change_back_to_h  = "İnsani şekline geri döndün..."
qstr_Your_mount_stumbles!  = "Bineğiniz tökezliyor! Sakatlanmış gibi görünüyor."
qstr_Bitten_by_your_own_w  = "Kendi wargın tarafından ısırıldın"
qstr_You_weigh_too_much_f  = "Bir midilli için çok ağırsın"
qstr_Your_mount_rears_ref  = "Bineğiniz şahlanıyor, emirlerinize itaat etmeyi reddediyor!"
qstr_Cannot_Change_Camera  = "Birinci Şahıstayken Kamera Modu Değiştirilemez."
qstr_Switch_Back_to_3rd_P  = "Dönen Kamerayı Görmek için 3'üncü Kişi Kamerasına Değiştirin."
qstr_Fixed_Custom_Camera  = "Özel Kamerayı Ayarla"
qstr_Press_Ctrl_+_Left_/_  = "Omuz Değiştirmek için Ctrl+Sol/Ctrl/Sağ Yön Tuşlarına basınız"
qstr_Press_Ctrl_+_Down_to  = "Ortalamak için Ctrl + Aşağı Ok Tuşuna Basınız"
qstr_Use_+/__to_zoom_in/o  = "+/- kullan yaklaş/uzaklaş"
qstr_Use_Up/Down_arrow_ke  = "Yukarı ve aşağı eğim vermek için up/down tuşlarını kullanın"
qstr_Fixed_Camera___Right  = "Sabit Kamera - Sağ Omuz"
qstr_Fixed_Camera___Left_  = "Sabit Kamera - Sol Omuz"
qstr_Fixed_Camera___Cente  = "Sabitlenmiş Kamera - Merkez"
qstr_While_visiting_towns  = "Kasabaları ziyaret ederken, yerleşkelerde ve kamplarda etrafta yürüyen insanlarla konuşabilirsin. Farklı tarafların halkları, farklı şeyler söyleyebilirler. Bazıları düşüncelerini, bazıları ise söylentileri sizinle paylaşacaktır. Her ikisi de  bölgenin kültürünü ve tarafını daha iyi anlatmak, gizli bölgeleri bulma ipuçları, Yaban Hayatı boyunca seyahat etmek, Yüzük Savaşında bulunma ipuçları ve püf noktaları sağlamak için kullanılabilir."
qstr_Cannot_leave_now.  = "Şimdi ayrılamazsın"
qstr_You_have_found_the_l  = "Yerel demirciyi buldun."
qstr_You_have_found_the_lo  = "Yerel idareyi buldun."
qstr_You_have_found_the_loc  = "Yerel erzak deposunu buldun."
qstr_You_look_through_Hen  = "Günbatımının Penceresi Henneth Annun'a bakıyorsun. Güzel manzara, Batı'ya olan inancınızı ve ötesindeki Güçleri yeniden canlandırıyor."
qstr__cancelled_the_{reg1  = "(Mahkumları öldürmekten kazanılan {reg10} tecrübe puanları iptal edildi)"
qstr_Forming_ranks.  = "Sıralamalar."
qstr_{reg2?You:Your_mount  = "{reg2?You:Your mount} {reg1} ekstra hasar alındı!"
qstr_{reg2?You_strike:You  = "{reg2?You strike:Your horse charges} {reg1} için bonus hasar!"
qstr_Division_Placement  = "Birlik Yerleşimi"
qstr_Complex_Formations  = "Karmaşık Formasyonlar"
qstr_Formations_turned_OF  = "Formasyonlar ayarlar menusunden kapandı."
qstr_Division_{reg1}_{s2}_g  = "Bölük {reg1} {s2} bilinen pozisyona doğru ilerliyor..."
qstr_Division_{reg1}_{s2}_f  = "{reg1} . Kuvvetler {s2} çizgi oluşturdu(Ezberlendi)"
qstr_Division_{reg1}_{s2}_fo  = "{reg1}. Kuvvetleri {s2} {reg0} Tane Çizgi oluşturdu(Ezberlendi)."
qstr_Delivered_{reg60}_da  = "{reg60} hasar verdiniz."
qstr_DEBUG__Health_Regen_  = "DEBUG (Can Yenileme): {s1}  {reg0}% can kazandı.  = +{reg1}% STR"
qstr_Your_bear_form_has_{  = "Ayı şeklin {reg2}/{reg1} Canı kaldı!"
qstr_Three_Nazgul_are_cir  = "Üç Nazgul savaş alanının üstündeki gökyüzünde dolaşıyor!"
qstr_Two_Nazgul_are_circl  = "İki Nazgul savaş alanının üstündeki gökyüzünde dolaşıyor!"
qstr_A_Nazgul_is_circling  = "Bir tane Nazgul  savaş alanının yukarısında daire çiziyor."
qstr_Some_of_your_human_t  = "İnsan birliklerinin bir kısmı karanlığın gölgesinde değiller. (Gece Askerleri gece cezalarından etkilenmez)."
qstr_You_are_filled_with_  = "Gözlerini düşmana doğru intikamla doldurdun (Çılgınlık Aktif)"
qstr_Your_mount_is_scared  = "Binegin  {reg73?ent:troll} Tarafından korkutuldu!"
qstr_Your_mount_is_scared_  = "Atın {reg73?Ağaç Adam:troll} 'dan korkuyor, ama sen bunun üstesinden gelebilirsin!"
qstr_Nazgul_sweep!  = "Nazgul salınıyor!"
qstr_You_and_your_horse_p  = "Sen ve atın paniklediniz, Nazgul'un çığlıkları dayanılmaz."
qstr_Your_horse_panics_th  = "Atın panikledi, Nazgul'un çığlıkları dayanılmaz."
qstr_You_cower_in_terror_  = "Dehşet içinde yere çömeliyorsun, Nazgul'ün çığlıkları dayanılmaz!"
qstr_knocked_unconscious  = "bayıltıldı"
qstr_Nazgul_diving_attack  = "Nazgul {s11} e dalış saldırısı yapıyor."
qstr_{s11}_is_{s10}_in_th  = "{s11} 'a {s10} de Nazgul saldırıyor!"
qstr_Received_{reg66}_dam  = "{Reg66} hasar alındı."
qstr_You_yell_for_your_ho  = "Atın için sesleniyorsun"
qstr_{s1}_s_morale:_{reg1  = "{s1}'in morali: {reg1}"
qstr_You_do_not_need_to_r  = "Birliklerini henüz toplamana gerek yok."
qstr_You_rally_your_troop  = "Birlikleri topla!"
qstr_{s5}_rallies_{reg65?  = "{s5} {reg65?:} birliklerini topluyor!"
qstr_You_have_killed_{reg  = "Savaşta {reg1} düşman öldürdün!"
qstr_Your_bravery_inspire  = "Cesaretin birliklerine ilham veriyor!"
qstr_Your_mount_has_falle  = "Bağlantınız altınızdaki yere düştü!"
qstr_Receive_{reg22}_dama  = "{Reg22} hasar alındı."
qstr_You_have_been_knocke  = " {s22} tarafından bayıltıldın."
qstr_{s21}_has_been_knock  = "{s21} Atından düşünce baygınlık geçirdi."
qstr_{s21}_{reg24?killed:  = " {s22} tarafından {s21} {reg24?öldürüldü:bayıltıldı} . "
qstr_A_bear_has_been_summ  = "Savaş alanında bir Ayı ortaya çıktı!"
qstr_In_The_Last_Days_of_  = "The Last Days of the Third Age modunda, askerlerin her savaşın başında kör gözüne saldırmaktansa pozisyonlarını korurlar.^^Askerlerine formasyon emri vermek için: 'J' Rütbeye göre, 'K' Kalkan duvarı, 'L' kama , ';' for Kare. Formasyonu bozmak içi; 'U'. ^Eğer askerlerin kaçışıyorsa 'V' ile onları toplayabilirsin. Sınırlı sayıda toplama hakkın var ve bu senin karizmana bağlıdır."
qstr_You_can_also_order_y  = "Askerlerinize, kullanmasını istediğiniz silah türünü kullanmalarını da emredebilirsiniz. ^^ Silah Düzeni türleri arasında geçiş yapmak için O tuşuna basın. Kalkan Emirleri arasında geçiş yapmak için P tuşuna basın."
qstr_The_Last_Days_of_the  = "The Last Days of the Third Age modu kısa boylu ırklar için (Cüce/orc) kişisel bir kamera sistemi geliştirdi.^^CTRL + END ile 2 farklı kamera moduna bakabilirsiniz: Sabit pozisyonlu ve Serbest mod.^^Sabit pozisyon bütün Irklar içindir ancak kişileştirilemez. CTRL+Sol/Sağ Yön tuşları ile omuz değiştirebilirsiniz.^^Serbest mod karakteri ortaya yerleştirir. CTRL+Yukarı/Aşağı yön tuşları ile kamerayı döndürebilirsiniz ve CTRL+ Numpad +/- ile yakınlaştırabilirsiniz.^^ Bilgi sayfalarına bakarak kamerayı nasıl kontrol edebileceğinize bakabilirsiniz."
qstr_Battlefield_is_too_s  = "Savaş alanı karmaşık yapay zeka formasyonları için çok küçük."
qstr_You_have_a_clear_per  = "Etrafdan gelebilecek bir tehlike olduğuna dair içinde net bir his var!"
qstr_New_ent_reached_batt  = "Yeni ent savaş alanına ulaştı..."
qstr_You_receive_word_tha  = "Beorning köylerine saldırı yapıldığına dair bir haber var. Beorningler Taraf Kuvvti kaybetti."
qstr_You_receive_word_that  = "Yüzük avcılarının bir sandıkla Mordor'a doğru yol aldığını haber alıyorsunuz. Mordor Taraf Kuvveti kazanıyor."
qstr_Enemy_reinforcements  = "Düşman takviyeleri savaş alanına ulaştı"
qstr_Yarrrr!!  = "Harrr!!"
qstr_Get_all_of_them!  = "Hepsini al!"
qstr_Kill_them_all!  = "Hepsini öldürün!"
qstr_Toss_them_overboard!  = "Onları denize at!"
qstr_It_is_a_good_day_to_  = "Ölmek için güzel bir gün!"
qstr_All_hands_on_deck!_T  = "Bütün eller güverteye! Onları geri atın!"
qstr_Ally_reinforcements_  = "takviye kuvvetleri ulaştı"
qstr_Forward_men!  = "İleri Askerler!"
qstr_Leave_none_of_these_  = "Bu pisliklerin hiçbirini bırakma!"
qstr_End_them_all!  = "Bitirin onları!!"
qstr_Drive_them_back!  = "Onları Geriye sürün!"
qstr_Protect_the_City!  = "Şehri Koruyun!"
qstr_Forward!_Board_them!  = "İleri! Onları yönetin!"
qstr_The_Last_Days_of_the_  = "Üçüncü Çağın Son Günleri, Yerelden büyük ölçüde farklı olan Gelişmiş bir Kuşatma Yapay Zekasına sahiptir. Tüm saldırganlar ve savunucular sol ve sağ kanatlara ve merkeze dağıtılacaktır. Saldıran oyuncular kendi birliklerinin bir kısmını komuta eder."
qstr_Reached_Gauntlet_wav  = "{reg1} Gauntlet bölümüne ulaşıldı."
qstr_Ballista:_out_of_amm  = "Mancınık:mermimiz bitti!"
qstr_Ballista:_turn_CURSO  = "Ballista: dondürmek CURSOR, nişan almak LSHIFT, ateş etmek SPACE, hazırlamak T, çıkmak F"
qstr_Ballista:_out_of_ammo  = "Mancınık:mermimiz bitti"
qstr_The_ladders_on_Deepi  = "Duvarın dibindeki merdivenler! Dikkat et!"
qstr_THREE.._TWO..._ONE..  = "ÜÇ.. İKİ... BİR.... DÖVÜŞ!"
qstr_You_have_come_upon_t  = "Amon Hen, Gondor gözetleme kulesinin bulunduğu Tepeye geldin. Burası adeta bir gözetleme noktası.^^Bu yerin bir zamanlar harika olduğunu ama uzun zamanlar boyunca unutulduğunu hissediyorsunuz."
qstr_You_have_come_upon_th  = "Son İttifak Savaşı sırasında Dagorlad muharebesinin yapıldığı ölü bataklıklara rastladınız^^Zamanında yeşil düzlükler iken şimdi hepsini bataklık yutmuş, ve şimdi tek yeşil, suratsız suların karanlık yağlı yüzeylerindeki canlı ot pisliği.^^Ölü çimler ve çürüyen sazlar, uzun süre unutulmuş yazların düzensiz gölgeleri ve sisli derinliklerde yüzen insan, elf ve ork bedenleri gibi buğulanmalarda yükselir^^Hava soğuk ve rutubetli ve su yüzeyinin hemen altında bir elf cesedinin gözünde mum ışıkları yanıp sönerken istemsizce titriyorsunuz."
qstr_You_have_entered_the  = "Bir zamanlar Büyük Yeşilorman olarak bilinen Güney Kuyutorman ormanlarına girdiniz. ^^ Dol Guldur kalesi yakınlardadır ve ormana koyu bir gölge yerleştirmiştir. Buradaki ormanlar kendilerini hasta ve çürümeyle dolu hissederler. Eski meşe ağaçları çürükler ve mantarlarla doludur ve büyük dolaşmış ağlar gövdeden gövdeye uzanmaktadır ^^ Hava sonsuz olarak durgun, karanlık, havasız ve seni yavaşça boğuluyor gibi hissettiriyor"
qstr_You_have_found_the_D  = "Efsanevi mızrakların bulunabileceği Cüce Deposunu buldun. Bulduğun şeyi {s3}'e rapor et."
qstr_Leave_the_Warehouse?  = "Ambardan ayrıl?"
qstr_Leave_the_place_in_s  = "Bölgeden barışcıl bir şekilde ayrıl?"
qstr_Leave_scene?  = "Olaydan ayrıl?"
qstr_Trace_back_your_step  = "Geriye çekil ve steplere dön?"
qstr_There_is_no_way_out!  = "Hiç bir yol yok! Orklara teslim ol?"
qstr_Stealth_mini_game_tu  = "Gizli mini oyun öğretici: İki alarm seviyesi vardır. Seviye 1, korucular tarafından ölen ceset görüldüğünde ya da sizi tespit edinceye kadar yola çıkar. Seviye 2, seviye 1 zaten aktifken sizi gören muhafızlar tarafından kapatılır. İkinci seviye tehlikelidir çünkü muhafızlar gelmeye devam edecektir. Gizli kalıp kalmanızın önüne geçebilirsiniz. Saklanmak sadece çeşitli bit kapakların arkasında hareket ettirmektir."
qstr_You_are_now_hidden.  = "Şimdi gizlisin."
qstr_You_move_out_of_hidi  = "Sığınağın dışına yürüdün."
qstr_The_guards_have_spot  = "Gardiyan ölü bedeni tespit etti!"
qstr_Alarm_Level_is_now_a  = "Alarm Seviyesi şimdi 1'de!"
qstr_Alarm_Level_is_now_at  = "Alarm Seviyesi şimdi 0'da!"
qstr_The_guards_have_spott  = "Gardiyanlar seni fark etti"
qstr_Alarm_Level_is_now_at_  = "Alarm Seviyesi şimdi 2'de!"
qstr_The_sorcerer_has_fle  = "Büyücü kaçtı!"
qstr_Report_this_ill_news  = "Bu kötü haberi hemen Leydi'ye bildir."
qstr_The_sorcerer_is_flee  = "Büyücü kaçıyor! Öldürün!"
qstr_The_sorcerer_has_joi  = "Büyücü savaşa katıldı! Öldürün onu!"
qstr_The_sorcerer_is_dead  = "Büyücü öldü!"
qstr_The_battle_is_won!  = "Çarpışma kazanıldı"
qstr_A_band_of_tribal_orc  = "Bir grup kabile orkları ortaya çıktı!"
qstr_Gaaaar!!_We_wants_th  = "Haaarr!! O İnsan etlerini istiyoruz!"
qstr_{s31}_scouts_have_ap  = "{s31} gözcüleri ortaya çıktı!"
qstr_Those_are_ours!_We_h  = "Onlar bizim! Ayrıldıklarından beri onları takip ediyoruz! Kimse yolumuzda durmasın!"
qstr_Trolls_appeared!  = "Troller ortaya çıktı!!"
qstr_Gaaaar!!  = "Gaaaar!!"
qstr_{s31}_scouts_have_app  = "{s31} İzcilerin mültecilere yardım ettiği ortaya çıktı!"
qstr_Hurry_men!_Help_the_  = "Acele et dostum! Mültecilere yardım et! Bütün pislikleri öldür ve kaçmalarına izin verme!"
qstr_Cannot_leave  = "Şu anda ayrılamazsınız"
qstr_Longbeard_Kinsman  = "Uzunsakallı Akraba"
qstr_Ori_Longbeard  = "Ori Uzunsakal"
qstr_We_shall_make_our_st  = "Burada duracağız! BALİN İÇİN!"
qstr_Noooo!_You_orcs_will  = "Hayıııır! Siz orklar bunu ödeyeceksiniz!"
qstr_Arghhh!!_Nooo!!  = "Arghhh!! Hayır!!"
qstr_I_will_take_down_as_  = "Hala ayaktayken elimden geldiğince çok öldüreceğim!"
qstr_Raaa!!  = "Raaa!!"
qstr_Kill_the_dwarves!  = "Cüceleri öldürün!"
qstr_Finish_them!  = "Bitirin onları!"
qstr_We_will_feast_on_you  = "Etinizle ziyafet çekeceğiz!"
qstr_Dwarf_meat!  = "Cüce eti!"
qstr_Eru_Iluvatar_has_dec  = "Eru Iluvatar Balin'in grubunun kaderine karar verdi, ve artık değiştirilemez."
qstr_They_are_coming....!  = "Geliyorlar....!"
qstr_Who...dares...enter.  = "kim...girmeye...cürret..."
qstr_You_are_not_welcome_  = "Burada hoş karşılanmıyorsun!"
qstr_Finally_I_found_you!  = "Sonunda, seni buldum! Hadi buradan çıkalım!"
qstr_You...are....ours...  = "Sen...biz..."
qstr_Look_at_my_over_the_  = "Atışıma bak, {playername}! Uzaktan bayağı iyiyim!"
qstr_You_wish_old_man_my_  = "Öyle sanıyorsun yaşlı adam, benim atışım çok daha iyiydi!"
qstr_You_should_really_se  = "Sen gerçekten Kahya Denethor'un Facebook fotoğrafını görmelisin, süper çıkmış!"
qstr_Press_Space_to_conti  = "Boşluk tuşuna basıp ilerle..."
qstr_{s24}__{reg13}____{r  = "{s24} ({reg13}) - Sonraki rütbeye kadar {reg20}^"
qstr_Influence:^_{reg11}_  = "Nüfuz:^ {reg11} ({s16} ile)^"
qstr_Resource_Points:^_{r  = "Kaynak Puanı:^ {reg12} ({s16})^"
qstr_{s11}_{s24}__{reg13}  = "{s11} {s24} ({reg13}) - Sonraki rütbeye kadar {reg21}^"
qstr_{s13}_{reg11}__with_  = "{s13} {reg11} ({s16} ile birlikte)^"
qstr_{s15}_{reg12}__in_{s  = "{s15} {reg12} (in {s16})^"
qstr_Four_years_after_bri  = "Erebor'dan bir zamanlar Cüceler şehri olan Khazad-dûm kentini yeniden kurmaya çalışmak için bir grup Cüceyi getirdikten dört yıl sonra Balin, Kheled-zaram Gölü'ne bakarken bir Orc okuyla öldürüldü ve halkı Celebrant'a gelen birçok Ork ile karşılaştı. Nehir, Doğu Kapısı ve Birinci Salon'dan, ardından Khazad-dûm Köprüsü ve İkinci Salon'dan sürekli geri çekildikten sonra, kalan Uzunsakallar yirmi birinci Salona kadar tamamen geri çekilmeye zorlandı. Óin'in ölümüne sebep olan ve Durin Kapılarından kaçmayı hedefleyen başarısız girişimler sonunda, Mazarbul Odası, yirmi birinci Salonu kaybettikten sonraki Balin'in grubunun son noktası oldu. Kapıları engelleyen Ori ve birkaç kurtulan son bir savunma kurdu."
qstr_You_chase_an_orc_sco  = "Ormanın içinde bir ork devriyesi yakaladın..."
qstr_^No_food:___{reg7}  = "^Yemek yok: -{reg7}"
qstr_Current_party_morale  = "Şu anki grup morali : {reg5}.^Şu anki grup morali bileşenleri:^^Temel moral:  +50^Grup büyüklüğü: {s2}{reg1}^Liderlik: {s3}{reg2}^Yiyecek çeşitliliği: {s4}{reg3}{s5}^Özel nesneler: {s6}{reg6}^Son olaylar: {s7}{reg4}^TOPLAM: {reg5}"
qstr_Defending  = "Savunma"
qstr_Gathering_army  = "Ordu toplama"
qstr_Besieging_{s11}  = "{s11}'i Kuşatmak"
qstr_Raiding_{s11}  = "{s11} Yağmalanıyor"
qstr_Attacking_enemies_ar  = "{s11} yakınında düşman saldırısı"
qstr_No_one  = "Hiç kimse"
qstr_{s9}{s10}^Current_st  = "{s9}{s10}^Şu anki durum: {s11}^Sıralama: {s12}^Son hücumdan bu yana: {reg1} saat^Saldıran maksimum takipçiler: {reg2}^^"
qstr_Selected_faction_is:  = "Seçili taraf: {s10}^^{s9}"
qstr_You_are_in_perfect_h  = "Sağlığın mükemmel"
qstr_You_are_suffering_fr  = "{s1} yüzünden acı çekiyorsun."
qstr_You_are_suffering_fro  = "{s1} ve {s2} yüzünden acı çekiyorsun."
qstr_You_are_suffering_from  = "{s1}, {s2}, ve {s3} yüzünden acı çekiyorsun."
qstr_You_are_suffering_from_  = "{s1}, {s2}, {s3} ve {s4} yüzünden acı çekiyorsun."
qstr_Weekly_upkeep_for_tr  = "Birliklerinin haftalık masrafı:^{reg5} Kaynak Puanı^"
qstr_{s12}^__{s4}:_{reg4}  = "{s12}^ {s4}: {reg4} Kaynak Puanı ({reg5})"
qstr_No_upkeep_costs  = "Bakım masrafı yok"
qstr_Orc_hiring_bonus:_+2  = "Ork işe alma bonusu: Her ork için +2/3"
qstr_Current_party_size_l  = "Grup büyüklüğü limiti {reg5}.^Grup büyüklüğü bileşenleri:^^Temel büyüklük:  +10^Liderlik: {s2}{reg1}^Karizma: {s3}{reg2}^Nam: {s4}{reg3}^{s5}TOPLAM:  {reg5}"
qstr_{s2}^_________{s4}:_  = "{s2}^ {s4}: {reg1} ({s23})"
qstr__________Faction_str  = "Taraf güçleri raporu:^{s2}"
qstr_{s1}^^Factions_are_n  = "{s1} ^^Taraflar normalde {reg1} gücünün altına düştüğünde kuşatılırlar."
qstr_Savagery  = "Vahşet"
qstr_{s2}^^{s5}^{s6}  = "{s2}^^{s5}^^{s6}"
qstr_Traits_gained:^{s2}  = "Kişisel özellik kazanıldı:^{s2}"
qstr_^^You_are_{s17}.  = "^^Sen {s17}."
qstr_Assassins_in_the_cam  = "Suikastçiler kampta, kendinizi savunun ! "
qstr_Ally_party_size:_{re  = "Tüm grup büyüklüğü: {reg1}"
qstr_Enemy_party_size:_{r  = "Düşman grubu büyüklüğü: {reg1}"
qstr_Party_count:_{reg0}  = "Grup sayısı: {reg0}"
qstr_Party_position__{reg  = "Grup Pozisyonu ({reg2},{reg3})."
qstr_Party_size_increased  = "Grup büyüklüğün {reg0} dan {reg1} e yükseldi!"
qstr_Faction_strengths_re  = "Taraf Kuvveti raporu:^{s2}"
qstr_Attacking_enemy_part  = "Düşman gruba saldırı {s11}"
qstr_Unknown_{reg3}_  = "Bilinmeyen({reg3})"
qstr_ON  = "AÇIK"
qstr_OFF__cheat_  = "KAPALI (hile)"
qstr_OFF  = "KAPALI"
qstr_All_messages  = "Tüm mesajlar"
qstr_{reg0}__will_most_li  = "{reg0} (Büyük olasılıkla kayıt çökmelerine neden olacak)"
qstr_{reg0}__could_possib  = "{reg0} (Kaydetme çökmelerine neden olabilir)"
qstr_Normal  = "Normal"
qstr_Defender_only  = "Sadece savunan"
qstr_Halved  = "Yarıya"
qstr_Battles_only  = "Sadece muharebe"
qstr_Doubled  = "İki katına"
qstr_Tripled  = "Üç Katına"
qstr_Quadrupled  = "Dört Katına"
qstr_You_drank_the_Ent_Wa  = "Ent suyunu içiyorsun..."
qstr_You_used_the_Orc_Bre  = "Ork İksiri kullandın."
qstr_Fangorn_search:_fail  = "Fangorn araştırması: başarısız."
qstr_^^^A_great_victory!^  = "^^^Büyük bir zafer!!^^^Demek ki Fangorn ile ilgili söylentiler bu anlama geliyormuş..."
qstr_^^^Defeated...^^^Sca  = "^^^Mağlup...^^^Fangorn Ormanı'nda dağılmış... Yalnız..."
qstr_Troll_caged_in_wheel  = "Trol tekerlekli kafese hapsedildi."
qstr_A_second_troll_is_ca  = "İkinci trol tekerlekli kafese hapsedildi."
qstr_Here_you_are.  = "İşte buradasın."
qstr_Player_was_moved_to_  = "Oyuncu {s10}'a taşındı."
qstr_neutral_whereabouts  = "tarafsız konum"
qstr_any  = "herhangi"
qstr_woman  = "kadın"
qstr_gondor  = "gondor"
qstr_rohan  = "rohan"
qstr_dunlander  = "dunlandlı"
qstr_urukhai  = "urukhai"
qstr_haradrim  = "haradrim"
qstr_dwarf  = "cüce"
qstr_troll  = "troll"
qstr_dunedain  = "dunedain"
qstr_lothlorien  = "lothlorien"
qstr_rivendell  = "ayrıkvadi"
qstr_mirkwood  = "kuyutorman"
qstr_evil_man  = "kötü adam"
qstr_{reg11}0___{reg11}9  = "{reg11}0 - {reg11}9"
qstr_Regular_troops_only  = "Yalnızca düzenli birlikler."
qstr_Heroes_only  = "Sadece kahramanlar"
qstr_Regulars_and_Heroes  = "Askerler ve Kahramanlar"
qstr_HP_lost_from_poisoni  = "Zehirlenmeden kaybedilen HP"
qstr__{s17}.  = ", {s17}."
qstr_A_group_of_{s1}_is_{  = "{s1} Grubu sana karşı {s10}"
qstr_You_are_attacking_a_  = "Sen {s1}'in grubuna saldırıyorsun."
qstr_The_battle_against_t  = "{s1} grubuna karşı savaş devam ediyor."
qstr_There_are_{reg39}_al  = "Savaşta {reg39} adet müttefik komutan var. {reg40} Nüfuz puanı karşılığında onları ve askerlerini yönetebilirsin."
qstr_Having_a_small_party  = "Küçük bir partiye sahip olmanın faydaları var... Siz ve birlikleriniz, görülemeyeceğinizden emin olmak için düşmandan birkaç saat saklanabilirsiniz."
qstr_Your_ability_to_mast  = "Zorlu ortamlarda hayatta kalabilmeniz, saklanacak güvenli bir yer bulmanızı sağlar. (Yaban Ustası yeteneğiniz, {reg1} birlikle saklanmanıza izin verir)"
qstr_{reg4}_will_be_lost.  = "{reg4} Kaybedildi."
qstr_{s13}_asked_you_to_r  = "{s13}, senden en az {reg13} birlikle kendisine haber vermeni rica etti."
qstr_{s13}_ordered_you_to  = "{s13} Senden {s14}' e karşı yaptığı saldırıya katılmanı emretti"
qstr_You_were_victorious!  = "Zafer senin!"
qstr_The_battle_was_lost.  = "Savaş kaybedildi. Kuvvetlerin tamamen ezildi."
qstr_Your_companions_carr  = "Yoldaşın seni savaş alanından uzaklaştırıyor"
qstr_You_have_defeated_th  = "Düşmanı mağlup ettiniz."
qstr_You_have_retreated_f  = "Savaştan geri çekildiniz."
qstr_^^Ally_Casualties:{s  = "^^Müttefik Kayıpları:{s0}"
qstr_You_and_{s3}_celebra  = "Siz ve {s3}, {s4} karşısında aldığınız zaferi kutluyorsunuz."
qstr_News_of_your_victory  = "{s4}'e karşı kazandığın zafer haberi {s3}'e ulaştı."
qstr_{s3}_witnesses_your_  = "{s3} , {s4} karşısında kazandığın zaferine tanık oluyor."
qstr_Even_though_there_we  = "Yakınlarınızda zaferinize şahitlik edecek hiçbir müttefik olmasa da, birlikleriniz yine de zaferinizi kutlar."
qstr_{s1}_of_{s3}_managed  = "{s3}lü {s1}  kaçmana yardım etti."
qstr_Prisoners_rescued_so  = "{reg1} adet Mahkum kurtarıldı. "
qstr_{reg1}_kills_of_{s1}  = "{s1} tarafından yemin için geçerli {reg1} adet öldürme var. TOPLAM öldürülen: {reg0}"
qstr_Perhaps_I_m_getting_  = "Belki de şansızlaşıyorum..."
qstr_Retirement_is_starti  = "Emeklilik kulağa artık daha hoş gelmeye başlıyor."
qstr_No_matter!_I_will_pe  = "Önemi yok! Ben direneceğim!"
qstr_What_did_I_do_to_des  = "Bunu hakedecek ne yaptım?"
qstr_I_suppose_it_ll_make  = "En azından anlatılacak güzel bir hikaye olacak."
qstr__{s17}  = ", {s17}"
qstr_You_retreated_from_b  = "Savaştan geri çekildin."
qstr_{s9}_wants_you_to_fo  = "{s9} bir sonraki duyuruya kadar orduyu takip etmenizi istiyor."
qstr_{s8}_of_{s9}  = "{S9} 'dan {s8}"
qstr__Your_own_banner_fli  = "Sancağın kale kapılarının üzerinde dalgalanıyor."
qstr__You_see_the_banner_  = "Kale kapısının üzerindeki {s7} şeridini görüyorsunuz."
qstr__This_castle_seems_t  = "Bu kalenin hiçbir sahibi yok gibi gözüküyor."
qstr__Your_own_banner_flie  = "Sancağın şehrin kapılarının üzerinde dalgalanıyor."
qstr__You_see_the_banner_o  = "Şehir kapılarında {s7} bayrağı görüyorsunuz."
qstr__The_townsfolk_here_  = "Buradaki kasaba halkı bağımsızlıklarını ilan etti."
qstr_Go_to_the_secret_ent  = "Moria'nın gizli kapısına git"
qstr_Search_for_a_secret_  = "Moria'ya giden gizle kapıyı ara"
qstr_Get_book.  = "Kitabı al."
qstr_The_{reg6?town_s:cas  = "{reg6?kasabanın:kalenin} yiyecek stokları {reg3} gün daha dayanabilir."
qstr_The_{reg6?town_s:cast  = "{Reg6?kasabanın:kalenin} yiyecek stokları tükendi ve savunmacılar açlık çekiyor."
qstr_You_re_preparing_to_  = "Duvarlara saldırmaya hazırlanıyorsunuz, hazırlıkların {reg9} saat içinde bitirilmesi gerekiyor."
qstr_Your_forces_are_buil  = "Güçleriniz kuşatma kulesi inşa ediyor. Yapımı tamamlamak için yaklaşık bir {reg9} saat daha gerekeceğini tahmin ediyorlar."
qstr_You_are_ready_to_att  = "Duvarlara saldırmaya hazırsın."
qstr_The_siege_tower_is_b  = "Kuşatma kulesi inşa edildi ve saldırıya hazır."
qstr_As_a_last_defensive_  = "Son bir savunma çabası olarak, ana salona çekiliyorsun. Sen ve kalan askerleriniz burada çaresiz bir şekilde dövüşecek. Eğer yenilirsen geri çekilmek için başka bir yer yok."
